"title","year","venue","authors","type","url","abstract"
"A Hybrid Mutual Authentication Approach for Artificial Intelligence of Medical Things.","2024","IEEE Internet Things J.","Mian Ahmad Jan, Wenjing Zhang, Aamir Akbar, Houbing Song, Rahim Khan, Samia Allaoua Chelloug","Journal Articles","https://dblp.org/rec/journals/iotj/JanZASKC24",""
"Adaptive Reinforcement Learning for Robot Control.","2024","CoRR","Yu Tang Liu, Nilaksh Singh, Aamir Ahmad","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2404-18713","In this paper, a stable reinforcement learning control approach using neural networks (NNs) is developed for the trajectory tracking of an n-link rigid robot manipulator. The considered systems are in discrete time form. The proposed controller design consists of two NNs. One is the critic network that is used to approximate the long-term cost function, whereas other is that the action NN is employed to generate the system input. Then, an optimal control input can be obtained compared with other robot manipulator systems. Using the Lyapunov approach, the tracking error and weight estimates are proven to be semi-global uniformly ultimately bounded. A simulation example is employed to illustrate the effectiveness of the proposed controller."
"Airship Formations for Animal Motion Capture and Behavior Analysis.","2024","CoRR","Eric Price 0002, Aamir Ahmad","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2404-08986","AbstractAn automatic, quick, accurate, and scalable method for animal behavior inference using only videos of animals offers unprecedented opportunities to understand complex biological phenomena and answer challenging ecological questions. The advent of sophisticated machine learning techniques now allows the development and implementation of such a method. However, apart from developing a network model that infers animal behavior from video inputs, the key challenge is to obtain sufficient labeled (annotated) data to successfully train that network - a laborious task that needs to be repeated for every species and/or animal system. Here, we propose solutions for both problems, i) a novel methodology for rapidly generating large amounts of annotated data of animals from videos and ii) using it to reliably train deep neural network models to infer the different behavioral states of every animal in each frame of the video. Our method’s workflow is bootstrapped with a relatively small amount of manually-labeled video frames. We develop and implement this novel method by building upon the open-source tool Smarter-LabelMe, leveraging deep convolutional visual detection and tracking in combination with our behavior inference model to quickly produce large amounts of reliable training data. We demonstrate the effectiveness of our method on aerial videos of plains and Grévy’s Zebras (Equus quaggaandEquus grevyi). We fully open-source the code1of our method as well as provide large amounts of accurately-annotated video datasets2of zebra behavior using our method. A video abstract of this paper is available here3."
"An Optimized Harris Hawks Algorithm for Enhancing ANN Performance in Prediction Tasks Applied in Sales Domain.","2024","ICCSCE","Bibi Aamirah Shafaa Emambocus, Muhammed Basheer Jasser, Shou Heng Tan, Samuel Mofoluwa Ajibade, Hui Na Chua, Richard T. K. Wong, Ahmad Sahban Rafsanjani","Conference and Workshop Papers","https://dblp.org/rec/conf/iccsce/EmambocusJTACWR24","Sales prediction, the process of predicting future sales performance based on past information, offers valuable information to businesses, allowing them to make informed and profitable decisions. This can be done using machine learning, specifically Artificial Neural Networks (ANNs) which have proven to be effective for prediction tasks. A requisite process before using ANNs as prediction models is its training which is commonly done using back-propagation algorithms. Recently, it has been noticed that swarm intelligence algorithms are better training algorithms for ANNs than backpropagation. In this paper, we propose to employ a high-performing swarm intelligence algorithm, Harris Hawks Optimization (HHO) for the training of ANNs applied to the prediction of iPhone sales in Malaysia. Moreover, we propose an optimized Harris Hawks algorithm and apply it for training the same prediction models. Both the original and optimized HHO algorithms are found to be able to better train the prediction models compared to the usual backpropagation algorithm. Furthermore, the proposed optimized HHO algorithm is found to have higher effectiveness than the original HHO as the ANNs trained by the optimized HHO can achieve a root mean square error of 89.6789 during the training as compared to 112.2448 by those trained using the original HHO."
"Behavior and Characteristics of Ransomware - A Survey.","2024","ICCR","Naeem Akhtar Malik, Amir Mohammad Delshadi, Muhammad Ibrar, Khalid Hamid, Muhammad Aamir 0007, Fahad Ahmed, Gulzar Ahmad","Conference and Workshop Papers","https://dblp.org/rec/conf/iccr/MalikDIHAAA24",""
"Blockchain-Based Logging to Defeat Malicious Insiders: The Case of Remote Health Monitoring Systems.","2024","IEEE Access","Hamza Javed, Zainab Abaid, Shahid Akbar, Kifayat Ullah 0004, Ashfaq Ahmad, Aamir Saeed, Hashim Ali, Yazeed Yasin Ghadi, Tahani Jaser Alahmadi, Hend Khalid Alkahtani, Ali Raza","Journal Articles","https://dblp.org/rec/journals/access/JavedAAUASAGAAR24","IoT-based remote health monitoring is a promising technology to support patients who are unable to travel to medical facilities. Due to the sensitivity of health data, it is important to secure it against all possible threats. While a great deal of work has been done to secure IoT device-cloud communication and health records on the cloud, insider attacks remain a significant challenge. Malicious insiders may tamper, steal or change patients’ health data, which results in a loss of patient trust in these systems. Audit logs in the cloud, which may point to illegal data access, may also be erased or forged by malicious insiders as they tend to have technical knowledge and privileged access to the system. Thus, in this work, we propose a Cloud Access Security Broker (CASB) model that (a) logs every action performed on user data and (b) secures those logs by placing them in a private blockchain that is viewable by the data owners (i.e., patients). Patients can query the blockchain, track their data’s movement, and be alerted if their data has been accessed by an administrator or moved outside the cloud storage. In this work, we practically implement a web application that receives health data from patients, a CASB that securely stores the records in the cloud, and integrate a private blockchain that immediately logs all actions happening in the backend of the web application and CASB. We evaluate the system’s security and performance under varying numbers of patients and actions."
"End-to-End Thermal Updraft Detection and Estimation for Autonomous Soaring Using Temporal Convolutional Networks.","2024","ICRA","Christian Gall, Walter Fichter, Aamir Ahmad","Conference and Workshop Papers","https://dblp.org/rec/conf/icra/GallFA24","Exploiting thermal updrafts to gain altitude can significantly extend the endurance of fixed-wing aircraft, as has been demonstrated by human glider pilots for decades. In this work, we present a novel end-to-end deep learning approach for the simultaneous detection of multiple thermal updrafts and the estimation of their properties — a key capability to let autonomous unmanned aerial vehicles soar as well. In contrast to previous works, our approach does not require separate algorithms for the detection of individual updrafts. Instead, a sequence of sensor measurements from a time window of interest can be directly fed into our temporal convolutional network, which estimates the position, strength, and spread of the encountered updrafts. We demonstrated in simulations that our approach can reliably detect updrafts solely based on measurements of the aircraft’s position and the local vertical wind velocity. Nevertheless, our method can additionally make use of measurements of the roll moment induced by updrafts, which improves the precision further. Compared with a particle-filter-based method, we can determine the correct number of encountered updrafts with an accuracy of 99.99% instead of 79.50%, significantly improve the precision of strength as well as spread estimates, and reduce the computational demand."
"Enhancing brain tumor diagnosis: an optimized CNN hyperparameter model for improved accuracy and reliability.","2024","PeerJ Comput. Sci.","Abdullah A. Asiri, Ahmad Shaf, Tariq Ali, Muhammad Aamir 0007, Muhammad Irfan 0008, Saeed Alqahtani","Journal Articles","https://dblp.org/rec/journals/peerj-cs/AsiriSAAIA24","Hyperparameter tuning plays a pivotal role in the accuracy and reliability of convolutional neural network (CNN) models used in brain tumor diagnosis. These hyperparameters exert control over various aspects of the neural network, encompassing feature extraction, spatial resolution, non-linear mapping, convergence speed, and model complexity. We propose a meticulously refined CNN hyperparameter model designed to optimize critical parameters, including filter number and size, stride padding, pooling techniques, activation functions, learning rate, batch size, and the number of layers. Our approach leverages two publicly available brain tumor MRI datasets for research purposes. The first dataset comprises a total of 7,023 human brain images, categorized into four classes: glioma, meningioma, no tumor, and pituitary. The second dataset contains 253 images classified as “yes” and “no.” Our approach delivers exceptional results, demonstrating an average 94.25% precision, recall, and F1-score with 96% accuracy for dataset 1, while an average 87.5% precision, recall, and F1-score, with accuracy of 88% for dataset 2. To affirm the robustness of our findings, we perform a comprehensive comparison with existing techniques, revealing that our method consistently outperforms these approaches. By systematically fine-tuning these critical hyperparameters, our model not only enhances its performance but also bolsters its generalization capabilities. This optimized CNN model provides medical experts with a more precise and efficient tool for supporting their decision-making processes in brain tumor diagnosis."
"Multi-Task Reinforcement Learning in Continuous Control with Successor Feature-Based Concurrent Composition.","2024","ECC","Yu Tang Liu, Aamir Ahmad","Conference and Workshop Papers","https://dblp.org/rec/conf/eucc/LiuA24","Deep reinforcement learning (DRL) frameworks are increasingly used to solve high-dimensional continuouscontrol tasks in robotics. However, due to the lack of sample efficiency, applying DRL for online learning is still practically infeasible in the robotics domain. One reason is that DRL agents do not leverage the solution of previous tasks for new tasks. Recent work on multi-task DRL agents based on successor features (SFs) has proven to be quite promising in increasing sample efficiency. In this work, we present a new approach that unifies two prior multi-task RL frameworks, SF-GPI and value composition, and adapts them to the continuous control domain. We exploit compositional properties of successor features to compose a policy distribution from a set of primitives without training any new policy. Lastly, to demonstrate the multi-tasking mechanism, we present our proof-of-concept benchmark environments, Pointmass and Pointer, based on IsaacGym, which facilitates large-scale parallelization to accelerate the experiments. Our experimental results show that our multi-task agent has single-task performance on par with soft actor-critic (SAC), and the agent can successfully transfer to new unseen tasks. We provide our code as open-source at https://github.com/robot-perception-group/concurrent_composition for the benefit of the community."
"Non-orthogonal multiple access-based MEC for energy-efficient task offloading in e-commerce systems.","2024","J. Cloud Comput.","Xiao Zheng, Muhammad Tahir, Khursheed Aurangzeb, Muhammad Shahid Anwar, Muhammad Aamir 0002, Ahmad Farzan, Rizwan Ullah","Journal Articles","https://dblp.org/rec/journals/jcloudc/ZhengTAAAFU24","AbstractMobile edge computing (MEC) reduces the latency for end users to access applications deployed at the edge by offloading tasks to the edge. With the popularity of e-commerce and the expansion of business scale, server load continues to increase, and energy efficiency issues gradually become more prominent. Computation offloading has received widespread attention as a technology that effectively reduces server load. However, how to improve energy efficiency while ensuring computing requirements is an important challenge facing computation offloading. To solve this problem, using non-orthogonal multiple access (NOMA) to increase the efficiency of multi-access wireless transmission, MEC supporting NOMA is investigated in the research. Computing resources will be divided into separate sub-computing that will be handled via e-commerce terminals or transferred to edge sides by reutilizing radio resources, we put forward a Group Switching Matching Algorithm Based on Resource Unit Allocation (GSM-RUA) algorithm that is multi-dimensional. To this end, we first formulate this task allocation problem as a long-term stochastic optimization problem, which we then convert to three short-term deterministic sub-programming problems using Lyapunov optimization, namely, radio resource allocation in a large timescale, computation resource allocating and splitting in a small-time frame. Of the 3 short-term deterministic sub-programming problems, the first sub-programming problem can be remodeled into a 1 to n matching problem, which can be solved using the block-shift-matching-based radio resource allocation method. The latter two sub-programming problems are then transformed into two continuous convex problems by relaxation and then solved easily. We then use simulations to prove that our GSM-RUA algorithm is superior to the state-of-the-art resource management algorithms in terms of energy consumption, efficiency and complexity for e-commerce scenarios."
