"title","year","venue","authors","type","url","abstract"
"Real-time quality prediction and local adjustment of friction with digital twin in sheet metal forming.","2025","Robotics Comput. Integr. Manuf.","Patrick Link, Lars Penter, Ulrike Rückert, Lars Klingel, Alexander Verl, Steffen Ihlenfeldt","Journal Articles","https://dblp.org/rec/journals/rcim/LinkPRKVI25",""
"A Digital Twin of a Ball Screw Drive Under Different Conditions: A Case Study About Temperature Drift.","2024","ICIT","Zhibo Zhou, Michael Walther, Alexander Verl","Conference and Workshop Papers","https://dblp.org/rec/conf/icit2/ZhouWV24","The ball screw feed drive system (BSFDS) is a fundamental component of machine tools. Thermal error consti-tutes a primary factor contributing to the inaccuracies observed in models and, hence, the quality defects in the product. In order to decrease thermal error, traditional methods focus on the construction of a thermal error model and compensating algorithm. However, the warm-up phase is usually omitted, which can also have an influence on the behavior of BSFDS. The dynamical behavior of BSFDS in the warm-up phase is influenced by temperature and hence difficult to be described by a linear time invariant model. This research constructs a digital twin (DT) to describe the dynamical behavior of BSFDS in the warm-up phase. The digital twin is identified through the linear parameter variable (LPV) algorithm. To evaluate the algorithm, the constructed digital twins are initially validated on a simulation platform and then on a real-world experimental machine."
"A System for Reproducible 3D Ultrasound Measurements of Skeletal Muscles.","2024","IEEE Trans. Biomed. Eng.","Annika S. Sahrmann, Geoffrey G. Handsfield, Leonardo Gizzi, Jenin Gerlach, Alexander Verl, Thor F. Besier, Oliver Röhrle","Journal Articles","https://dblp.org/rec/journals/tbe/SahrmannHGGVBR24","In 3D freehand ultrasound imaging, operator dependent variations in applied forces and movements can lead to errors in the reconstructed images. In this paper, we introduce an automated 3D ultrasound system, which enables acquisitions with controlled movement trajectories by using motors, which electrically move the probe. Due to integrated encoders there is no need of position sensors. An included force control mechanism ensures a constant contact force to the skin. We conducted 8 trials with the automated 3D ultrasound system on 2 different phantoms with 3 force settings and 10 trials on a human tibialis anterior muscle with 2 force settings. For comparison, we also conducted 8 freehand 3D ultrasound scans from 2 operators (4 force settings) on one phantom and 10 with one operator on the tibialis anterior muscle. Both freehand and automated trials showed small errors in volume and length computations of the reconstructions, however the freehand trials showed larger standard deviations. We also computed the thickness of the phantom and the tibialis anterior muscle. We found significant differences in force settings for the operators and higher coefficients of variation for the freehand trials. Overall, the automated 3D ultrasound system shows a high accuracy in reconstruction. Due to the smaller coefficients of variation, the automated 3D ultrasound system enables more reproducible ultrasound examinations than the freehand scanning. Therefore, the automated 3D ultrasound system is a reliable tool for 3D investigations of skeletal muscle."
"Adaptive Preload Control of Cable-Driven Parallel Robots for Handling Task.","2024","CoRR","Thomas Reichenbach, Johannes Clar, Andreas Pott, Alexander Verl","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2403-19293","This paper presents a method for dynamic adjustment of cable preloads based on the actuation redundancy of \acp{CDPR}, which allows increasing or decreasing the platform stiffness depending on task requirements. This is achieved by computing preload parameters with an extended nullspace formulation of the kinematics. The method facilitates the operator's ability to specify a defined preload within the operation space. The algorithms are implemented in a real-time environment, allowing for the use of optimization in hybrid position-force control. To validate the effectiveness of this approach, a simulation study is performed, and the obtained results are compared to existing methods. Furthermore, the method is investigated experimentally and compared with the conventional position-controlled operation of a cable robot. The results demonstrate the feasibility of adaptively adjusting cable preloads during platform motion and manipulation of additional objects."
"Endpoint Architecture for Distributed Real-Time Applications Based on TSN.","2024","WFCS","Stefan Oechsle, Florian Frick, Moritz Walker, Armin Lechler, Alexander Verl","Conference and Workshop Papers","https://dblp.org/rec/conf/wfcs/OechsleFWLV24","Distributed real-time applications perform deterministic tasks across multiple connected compute platforms, referred to as endpoints. Deterministic behavior of the communication and the compute are prerequisites, but coordinating and managing both in a holistic way is a significant challenge. Converged real-time networks based on Time-Sensitive Networking (TSN) are considered the key enabler across industries for the required connectivity. To date, the potential of TSN cannot be exploited due to many sub-standards still being under development, gaps in the management and configuration functions, lack of best practices and unresolved integration with higher application layers and domain specific engineering. Previous work, focusing on a modular open source framework for the engineering and management of distributed real-time applications, identified a unified approach for TSN-based endpoints as a key gap. This paper presents a novel endpoint architecture to operate, engineer and manage distributed real-time applications by seamlessly integrating real-time networking and compute. The architecture provides interfaces to a central engineering, allows to integrate centralized as well as distributed network management and offers a unified data management. An abstraction layer for applications allows the efficient use and complements existing open source solutions."
"Improved Control for the Impact Actuator.","2024","ECC","Alexander Schulte, Armin Lechler, Alexander Verl","Conference and Workshop Papers","https://dblp.org/rec/conf/eucc/SchulteLV24",""
"Learning Compensation of the State-Dependent Transmission Errors in Rack-and-Pinion Drives.","2024","ECC","Lukas Steinle, Valentin Leipe, Armin Lechler, Alexander Verl","Conference and Workshop Papers","https://dblp.org/rec/conf/eucc/SteinleLLV24","Rack-and-pinion drives are commonly used in large machine tools to provide linear motion of heavy loads over long travel distances. A key concern in this context is the achievable path accuracy, which is limited by assembly and manufacturing tolerances of the gearing components in conjunction with load-dependent deformation and the inherent backlash of the system. To address this issue, this paper presents a method for robust modeling of the individual and state-dependent transmission errors of a drive utilizing a two-stage machine learning approach. Based on this, the position control is extended to include an error compensation, which suppresses the modeled deviations in the mechanical system including the position-dependent backlash. The achievable increase in path accuracy as well as the robustness of the approach are evaluated and quantified by an experimental validation on a system with industry standard components."
"Modeling and Identification of Load-Dependent Properties for Electrically Preloaded Rack-and-Pinion Drives.","2024","ECC","Valentin Leipe, Lukas Steinle, Xabier Agirre Bikuña, Armin Lechler, Alexander Verl","Conference and Workshop Papers","https://dblp.org/rec/conf/eucc/LeipeSBLV24","Rack-and-pinion drives are preferred feed drives for long travel distances and heavy loads in large machine tools. One of the advantages compared to other feed drive systems is consistent stiffness regardless of travel length. A primary challenge with rack-and-pinion drives is the achievable accu-racy due to backlash. To compensate for backlash, electrically preloaded systems are commonly used in machine tools. In the case of electrical preload between two motors, the system is more complex to identify because the feed drive specific properties cannot be directly assigned to the respective drive train. To address this issue, this paper presents a novel method for modeling and identifying the load-dependent stiffness and damping of an electrically preloaded system. For this purpose, a mathematical modeling based on experimental data from a test bench with industrial components is presented to separate the drive train specific properties. This allows the system behavior to be modeled more accurately and used for control approaches."
"Modulation-Frequency-Dependent Power Dissipation Model for Servo Drives With Adaptive PWM.","2024","AMC","Manuel Weiss, Florian Frick, Armin Lechler, Alexander Verl","Conference and Workshop Papers","https://dblp.org/rec/conf/amc/WeissFLV24","The switching frequency of the power electronics in servo drives significantly impacts its power dissipation and process accuracy. To date, a constant high switching frequency is typically used, based on the strictest requirements of the manufacturing process. The novel adaptive PWM approach dynamically adjusts the switching frequency at runtime to reduce switching losses of the power electronics, while maintaining the required process accuracy. The switching frequency is set based on the requirements of the active operating state of the tooling machine. To determine the optimal switching frequency, a holistic understanding of power dissipation in servo drives is required. A novel modulation-frequency-dependent power dissipation model, incorporating the losses in the drive amplifier and in the motor due to current ripple effects, is presented in this paper. The new model is validated over a wide range of parameters, including different motors, voltages and currents. The evaluation of the model results in a better understanding of the modulation-frequency-dependent power dissipation in servo drives and enables the determination of the optimal PWM frequencies. It is shown that higher energy savings can be achieved at higher voltages, while current ripple effects limit the effectiveness of the adaptive PWM approach for motors with lower power ratings."
"Putting Co-Design-Supporting Data Lakes to the Test: An Evaluation on AEC Case Studies.","2024","DaWaK","Melanie Herschel, Andreas Gienger, Anja Patricia Regina Lauer, Charlotte Stein, Lior Skoury, Nico Lässig, Carsten Ellwein, Alexander Verl, Thomas Wortmann, Cristina Tarín-Sauer","Conference and Workshop Papers","https://dblp.org/rec/conf/dawak/HerschelGLSSLEVWT24",""
