"title","year","venue","authors","type","url","abstract"
"Entity-centric multi-domain transformer for improving generalization in fake news detection.","2024","Inf. Process. Manag.","Parisa Bazmi, Masoud Asadpour, Azadeh Shakery, Abbas Maazallahi","Journal Articles","https://dblp.org/rec/journals/ipm/BazmiASM24",""
"Harnessing the Power of Metadata for Enhanced Question Retrieval in Community Question Answering.","2024","IEEE Access","Shima Ghasemi, Azadeh Shakery","Journal Articles","https://dblp.org/rec/journals/access/GhasemiS24","Community Question Answering (CQA) forums such as Yahoo! Answers and Stack Overflow have become popular. The main goal of a CQA is to provide the most suitable answer in the shortest possible time. Since there is a reach archive of answered questions, similar question retrieval has received much attention intending to answer questions immediately after asking. One of the main challenges in this task is the lexical gap between questions, which refers to the discrepancies between the terminologies used by users asking questions. In this paper, we use metadata and two transformer-based techniques to improve the translation-based language model as a traditional technique addressing the lexical gap in retrieval systems. To overcome the lexical gap problem, additional context and information about the questions can help. Metadata is a rich source of information that refers to supplementary data associated with each question. Subject, category, and answer are metadata used in this article. To leverage these metadata, two transformer-based methods are employed. First, to utilize category information, we build category-specific dictionaries to obtain more accurate translation probabilities. A BERT model predicts the categories of the questions. Second, to utilize answer information, we propose a question expansion technique. Expansion is done by a transformer-based model using a retrieval-augmented generation (RAG) model to generate answers and expand new questions with corresponding answers. Finally, candidate questions are ranked according to their similarity to the expanded new question. Our proposed method achieves 51.47 in terms of MAP, outperforming all state-of-the-art approaches in question retrieval."
"Persian offensive language detection.","2024","Mach. Learn.","Emad Kebriaei, Ali Homayouni, Roghayeh Faraji, Armita Razavi, Azadeh Shakery, Heshaam Faili, Yadollah Yaghoobzadeh","Journal Articles","https://dblp.org/rec/journals/ml/KebriaeiHFRSFY24",""
"$\Lambda$-DARTS: Mitigating Performance Collapse by Harmonizing Operation Selection among Cells.","2023","ICLR","Sajad Movahedi, Melika Adabinejad, Ayyoob Imani, Arezou Keshavarz, Mostafa Dehghani 0001, Azadeh Shakery, Babak Nadjar Araabi","Conference and Workshop Papers","https://dblp.org/rec/conf/iclr/MovahediAIK0SA23","Differentiable neural architecture search (DARTS) is a popular method for neural architecture search (NAS), which performs cell-search and utilizes continuous relaxation to improve the search efficiency via gradient-based optimization. The main shortcoming of DARTS is performance collapse, where the discovered architecture suffers from a pattern of declining quality during search. Performance collapse has become an important topic of research, with many methods trying to solve the issue through either regularization or fundamental changes to DARTS. However, the weight-sharing framework used for cell-search in DARTS and the convergence of architecture parameters has not been analyzed yet. In this paper, we provide a thorough and novel theoretical and empirical analysis on DARTS and its point of convergence. We show that DARTS suffers from a specific structural flaw due to its weight-sharing framework that limits the convergence of DARTS to saturation points of the softmax function. This point of convergence gives an unfair advantage to layers closer to the output in choosing the optimal architecture, causing performance collapse. We then propose two new regularization terms that aim to prevent performance collapse by harmonizing operation selection via aligning gradients of layers. Experimental results on six different search spaces and three different datasets show that our method ($\Lambda$-DARTS) does indeed prevent performance collapse, providing justification for our theoretical analysis and the proposed remedy."
"A deep learning-based expert finding method to retrieve agile software teams from CQAs.","2023","Inf. Process. Manag.","Peyman Rostami, Azadeh Shakery","Journal Articles","https://dblp.org/rec/journals/ipm/RostamiS23",""
"Enhancement of Twitter event detection using news streams.","2023","Nat. Lang. Eng.","Samaneh Karimi, Azadeh Shakery, Rakesh M. Verma","Journal Articles","https://dblp.org/rec/journals/nle/KarimiSV23","AbstractA new framework for improving event detection is proposed that employs joint information in news media content and social networks, such as Twitter, to leverage detailed coverage of news media and the timeliness of social media. Specifically, a short text clustering method is employed to detect events from tweets, then the language model representations of the detected events are expanded using another set of events obtained from news articles published simultaneously. The expanded representations of events are employed as a new initialization of the clustering method to run another iteration and consequently enhance the event detection results. The proposed framework is evaluated using two datasets: a tweet dataset with event labels and a news dataset containing news articles published during the same time interval as the tweets. Experimental results show that the proposed framework improves the event detection results in terms of F1 measure compared to the results obtained from tweets only."
"Multi-view co-attention network for fake news detection by modeling topic-specific user and news source credibility.","2023","Inf. Process. Manag.","Parisa Bazmi, Masoud Asadpour, Azadeh Shakery","Journal Articles","https://dblp.org/rec/journals/ipm/BazmiAS23",""
"PEACH: Pre-Training Sequence-to-Sequence Multilingual Models for Translation with Semi-Supervised Pseudo-Parallel Document Generation.","2023","CoRR","Alireza Salemi, Amirhossein Abaskohi, Sara Tavakoli, Yadollah Yaghoobzadeh, Azadeh Shakery","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2304-01282",""
"A Learning to rank framework based on cross-lingual loss function for cross-lingual information retrieval.","2022","Appl. Intell.","Elham Ghanbari, Azadeh Shakery","Journal Articles","https://dblp.org/rec/journals/apin/GhanbariS22",""
"Generative Adversarial Training Can Improve Neural Language Models.","2022","CoRR","Sajad Movahedi, Azadeh Shakery","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2211-09728","While deep learning in the form of recurrent neural networks (RNNs) has caused a signiﬁcant improvement in neural language modeling, the fact that they are extremely prone to overﬁtting is still a mainly unresolved issue. In this paper we propose a regularization method based on generative adversarial networks (GANs) and adversarial training (AT), that can prevent overﬁtting in neural language models. Unlike common adversarial training methods such as the fast gradient sign method (FGSM) that require a second back-propagation through time, and there-fore effectively require at least twice the amount of time for regular training, the overhead of our method does not exceed more than 20% of the training of the baselines."
