"title","year","venue","authors","type","url","abstract"
"Can Large Language Models Infer Causation from Correlation?","2024","ICLR","Zhijing Jin, Jiarui Liu 0004, Zhiheng Lyu, Spencer Poff, Mrinmaya Sachan, Rada Mihalcea, Mona T. Diab, Bernhard Schölkopf","Conference and Workshop Papers","https://dblp.org/rec/conf/iclr/Jin0LPSMDS24","This study investigates the capacity of Large Language Models (LLMs) to infer the Big Five personality traits from free-form user interactions. The results demonstrate that a chatbot powered by GPT-4 can infer personality with moderate accuracy, outperforming previous approaches drawing inferences from static text content. The accuracy of inferences varied across different conversational settings. Performance was highest when the chatbot was prompted to elicit personality-relevant information from users (mean r=.443, range=[.245, .640]), followed by a condition placing greater emphasis on naturalistic interaction (mean r=.218, range=[.066, .373]). Notably, the direct focus on personality assessment did not result in a less positive user experience, with participants reporting the interactions to be equally natural, pleasant, engaging, and humanlike across both conditions. A chatbot mimicking ChatGPT’s default behavior of acting as a helpful assistant led to markedly inferior personality inferences and lower user experience ratings but still captured psychologically meaningful information for some of the personality traits (mean r=.117, range=[-.004, .209]). Preliminary analyses suggest that the accuracy of personality inferences varies only marginally across different socio-demographic subgroups. Our results highlight the potential of LLMs for psychological profiling based on conversational interactions. We discuss practical implications and ethical challenges associated with these findings."
"Causal Modeling with Stationary Diffusions.","2024","AISTATS","Lars Lorch, Andreas Krause 0001, Bernhard Schölkopf","Conference and Workshop Papers","https://dblp.org/rec/conf/aistats/Lorch0S24","We develop a novel approach towards causal inference. Rather than structural equations over a causal graph, we learn stochastic differential equations (SDEs) whose stationary densities model a system's behavior under interventions. These stationary diffusion models do not require the formalism of causal graphs, let alone the common assumption of acyclicity. We show that in several cases, they generalize to unseen interventions on their variables, often better than classical approaches. Our inference method is based on a new theoretical result that expresses a stationarity condition on the diffusion's generator in a reproducing kernel Hilbert space. The resulting kernel deviation from stationarity (KDS) is an objective function of independent interest."
"CausalCite: A Causal Formulation of Paper Citations.","2024","ACL","Ishan Agrawal, Zhijing Jin, Ehsan Mokhtarian, Siyuan Guo, Yuen Chen, Mrinmaya Sachan, Bernhard Schölkopf","Conference and Workshop Papers","https://dblp.org/rec/conf/acl/AgrawalJMGCSS24",""
"Competition of Mechanisms: Tracing How Language Models Handle Facts and Counterfactuals.","2024","ACL","Francesco Ortu, Zhijing Jin, Diego Doimo, Mrinmaya Sachan, Alberto Cazzaniga, Bernhard Schölkopf","Conference and Workshop Papers","https://dblp.org/rec/conf/acl/OrtuJDSCS24",""
"Deep Backtracking Counterfactuals for Causally Compliant Explanations.","2024","Trans. Mach. Learn. Res.","Klaus-Rudolf Kladny, Julius von Kügelgen, Bernhard Schölkopf, Michael Muehlebach","Journal Articles","https://dblp.org/rec/journals/tmlr/KladnyKSM24","AbstractThe advent of abundant Earth observation data enables the development of novel predictive methods for forecasting climate impacts on the state and health of terrestrial ecosystems. Here, we target the spatial and temporal variations of land surface reflectance and vegetation greenness, measuring the density of green vegetation and active foliage area, conditioned on current and past climate and the local topography. We train two alternative recurrent deep learning models that rely on convolutional layers for forecasting the spatially resolved deviation of surface reflectance across a heterogeneous landscape from a specified initial state (Baseline Framework). We demonstrate efficiency of the Baseline Framework with respect to training convergence speed. Using data from diverse ecosystems and land cover types across Europe and following a standardized model evaluation framework (EarthNet2021 Challenge), results indicate increased performance in predicting surface greenness during drought events of the models presented here, compared to currently published benchmarks. Our results demonstrate how deep learning methods enable early-warning of vegetation responses to the impacts of climatic extreme events, such as the drought-related loss of green foliage."
"Delphic Offline Reinforcement Learning under Nonidentifiable Hidden Confounding.","2024","ICLR","Alizée Pace, Hugo Yèche, Bernhard Schölkopf, Gunnar Rätsch, Guy Tennenholtz","Conference and Workshop Papers","https://dblp.org/rec/conf/iclr/PaceYSRT24","A prominent challenge of offline reinforcement learning (RL) is the issue of hidden confounding: unobserved variables may influence both the actions taken by the agent and the observed outcomes. Hidden confounding can compromise the validity of any causal conclusion drawn from data and presents a major obstacle to effective offline RL. In the present paper, we tackle the problem of hidden confounding in the nonidentifiable setting. We propose a definition of uncertainty due to hidden confounding bias, termed delphic uncertainty, which uses variation over world models compatible with the observations, and differentiate it from the well-known epistemic and aleatoric uncertainties. We derive a practical method for estimating the three types of uncertainties, and construct a pessimistic offline RL algorithm to account for them. Our method does not assume identifiability of the unobserved confounders, and attempts to reduce the amount of confounding bias. We demonstrate through extensive experiments and ablations the efficacy of our approach on a sepsis management benchmark, as well as on electronic health records. Our results suggest that nonidentifiable hidden confounding bias can be mitigated to improve offline RL solutions in practice."
"Ghost on the Shell: An Expressive Representation of General 3D Shapes.","2024","ICLR","Zhen Liu 0019, Yao Feng, Yuliang Xiu, Weiyang Liu, Liam Paull, Michael J. Black, Bernhard Schölkopf","Conference and Workshop Papers","https://dblp.org/rec/conf/iclr/LiuFXLPBS24",""
"GraphDreamer: Compositional 3D Scene Synthesis from Scene Graphs.","2024","CVPR","Gege Gao, Weiyang Liu, Anpei Chen, Andreas Geiger 0001, Bernhard Schölkopf","Conference and Workshop Papers","https://dblp.org/rec/conf/cvpr/GaoLC0S24",""
"Identifying Policy Gradient Subspaces.","2024","ICLR","Jan Schneider, Pierre Schumacher, Simon Guist, Le Chen, Daniel F. B. Haeufle, Bernhard Schölkopf, Dieter Büchler","Conference and Workshop Papers","https://dblp.org/rec/conf/iclr/SchneiderSGCHSB24","Policy gradient methods hold great potential for solving complex continuous control tasks. Still, their training efficiency can be improved by exploiting structure within the optimization problem. Recent work indicates that supervised learning can be accelerated by leveraging the fact that gradients lie in a low-dimensional and slowly-changing subspace. In this paper, we conduct a thorough evaluation of this phenomenon for two popular deep policy gradient methods on various simulated benchmark tasks. Our results demonstrate the existence of such gradient subspaces despite the continuously changing data distribution inherent to reinforcement learning. These findings reveal promising directions for future work on more efficient reinforcement learning, e.g., through improving parameter-space exploration or enabling second-order optimization."
"Moûsai: Efficient Text-to-Music Diffusion Models.","2024","ACL","Flavio Schneider, Ojasv Kamal, Zhijing Jin, Bernhard Schölkopf","Conference and Workshop Papers","https://dblp.org/rec/conf/acl/SchneiderKJS24",""
