"title","year","venue","authors","type","url","abstract"
"Modeling and Experimental Validation of High-Flow Fluid-Driven Membrane Valves for Hyperactuated Soft Robots.","2024","Adv. Intell. Syst.","Tianxiang Dai, Nikola Velimirovic, Philipp Zalles, Daniel Bruder, Keith Buffinton, R. Brent Gillespie, C. David Remy","Journal Articles","https://dblp.org/rec/journals/aisy/DaiVZBBGR24","Herein, the design, modeling, and validation of high‐flow, fluid‐driven, membrane valves tailored specifically for applications in soft robotic systems are described. Targeting the piping problem in hyper‐actuated soft robots, two fluid‐driven membrane valve designs that can admit flows of up to while weighing less than are introduced. A mathematical model to predict fluid flow by representing the displacement of the membrane as a scalar quantity influenced by the balance of pressures applied across the valve's ports is established. The model incorporates six parameters with direct physical relevance, enhancing its usefulness in valve design and system integration. In an experimental validation, flow rates with deviations within 4% are predicted and the onset of flow is correctly identified with an error rate of less than 1%. In addition, applications of these valves for flow amplification and for the creation of a fluid‐driven oscillator are experimentally demonstrated. This research contributes to the advancement of soft robotics by providing a tool for designing, optimizing, and controlling fluid‐driven systems and it lays the groundwork for the future development of embedded, fluid‐controlled valve networks that can be used to realize hyper‐actuated soft robotic systems."
"Robust semi-automatic segmentation method: an expert assistant tool for muscles in CT and MR data.","2024","Comput. methods Biomech. Biomed. Eng. Imaging Vis.","Mehran Azimbagirad, Guillaume Dardenne, Douraied Ben Salem, Jean-David Werthel, François Boux de Casson, Eric Stindel, Charles Garraud, Olivier Rémy-Néris, Valérie Burdin","Journal Articles","https://dblp.org/rec/journals/cmbbeiv/AzimbagiradDSWCSGRB24",""
"Swing-Up of a Weakly Actuated Double Pendulum via Nonlinear Normal Modes.","2024","ECC","Arne Sachtler, Davide Calzolari, Maximilian Raff, Annika Schmidt, Yannik P. Wotte, Cosimo Della Santina, C. David Remy, Alin Albu-Schäffer","Conference and Workshop Papers","https://dblp.org/rec/conf/eucc/SachtlerCRSWSRA24","We identify the nonlinear normal modes spawning from the stable equilibrium of a double pendulum under gravity, and we establish their connection to homoclinic orbits through the unstable upright position as energy increases. This result is exploited to devise an efficient swing-up strategy for a double pendulum with weak, saturating actuators. Our approach involves stabilizing the system onto periodic orbits associated with the nonlinear modes while gradually injecting energy. Since these modes are autonomous system evolutions, the required control effort for stabilization is minimal. Even with actuator limitations of less than 1% of the maximum gravitational torque, the proposed method accomplishes the swing-up of the double pendulum by allowing sufficient time."
"Teaching Motor Skills Without a Motor: A Semi-Passive Robot to Facilitate Learning.","2024","IEEE Trans. Haptics","Thomas E. Augenstein, C. David Remy, Edward S. Claflin, Rajiv Ranganathan, Chandramouli Krishnan","Journal Articles","https://dblp.org/rec/journals/toh/AugensteinRCRK24",""
"The ""Fluid Jacobian"": Modeling force-motion relationships in fluid-driven soft robots.","2024","Int. J. Robotics Res.","C. David Remy, Zachary Brei, Daniel Bruder, Jan Remy, Keith W. Buffinton, R. Brent Gillespie","Journal Articles","https://dblp.org/rec/journals/ijrr/RemyBBRBG24","In this paper, we introduce the concept of the Fluid Jacobian, which provides a description of the power transmission that operates between the fluid and mechanical domains in soft robotic systems. It can be understood as a generalization of the traditional kinematic Jacobian that relates the joint space torques and velocities to the task space forces and velocities of a robot. In a similar way, the Fluid Jacobian relates fluid pressure to task space forces and fluid flow to task space velocities. In addition, the Fluid Jacobian can also be regarded as a generalization of the piston cross-sectional area in a fluid-driven cylinder that extends to complex geometries and multiple dimensions. In the following, we present a theoretical derivation of this framework, focus on important special cases, and illustrate the meaning and practical applicability of the Fluid Jacobian in four brief examples."
"A High-Voltage Generator and Multiplexer for Electrostatic Actuation in Programmable Matter.","2023","IEEE J. Solid State Circuits","Yimai Peng, Gordy Carichner, Yejoong Kim, Li-Yu Chen, Rémy Tribhout, Benoît Piranda, Julien Bourgeois, David T. Blaauw, Dennis Sylvester","Journal Articles","https://dblp.org/rec/journals/jssc/PengCKCTPBBS23","Programmable matter (PM) consists of tiny, mm-scale quasi-spherical robots that can be combined and programmed to form any arbitrary 3-D shape autonomously. While PM enables instant structural visualization and opens up a host of industrial and artistic applications, it also raises significant challenges in micro-robot control, communication, and actuation that are difficult to support with existing system-on-chip (SoC) designs. This article presents a high-voltage-generation-and-multiplexer (HVGM) chip specially designed for electrostatic actuation of micro-robots for applications such as PM. The HVGM individually controls 12 pairs of <inline-formula> <tex-math notation=""LaTeX"">$+/-$ </tex-math></inline-formula> electrodes using a positive and negative charge pump and mux-structure, consuming only 286 nW power when switching a 10 pF electrode at 155 V/s, and producing a differential voltage of 103 V (29 <inline-formula> <tex-math notation=""LaTeX"">$\times $ </tex-math></inline-formula> voltage gain from 3.6 V) in measurement. We also show a complete micro-system of stacked dies, measuring 3 <inline-formula> <tex-math notation=""LaTeX"">$\times $ </tex-math></inline-formula> 1.4 <inline-formula> <tex-math notation=""LaTeX"">$\times $ </tex-math></inline-formula> 1.1 mm, including the HVGM, a processor, radio, and harvester that achieves energy-autonomous operation, and can be integrated into a micro-robot “Catom” via a flexible PCB."
"An Approach for Generating Families of Energetically Optimal Gaits from Passive Dynamic Walking Gaits.","2023","IROS","Nelson Rosa Jr., Bassel Katamish, Maximilian Raff, C. David Remy","Conference and Workshop Papers","https://dblp.org/rec/conf/iros/RosaKRR23",""
"Better Together: Unifying Datalog and Equality Saturation.","2023","Proc. ACM Program. Lang.","Yihong Zhang 0004, Yisu Remy Wang, Oliver Flatt, David Cao, Philip Zucker, Eli Rosenthal, Zachary Tatlock, Max Willsey","Journal Articles","https://dblp.org/rec/journals/pacmpl/ZhangWFCZRTW23","We present egglog, a fixpoint reasoning system that unifies Datalog and equality saturation (EqSat). Like Datalog, egglog supports efficient incremental execution, cooperating analyses, and lattice-based reasoning. Like EqSat, egglog supports term rewriting, efficient congruence closure, and extraction of optimized terms.
          We identify two recent applications -- a unification-based pointer analysis in Datalog and an EqSat-based floating-point term rewriter -- that have been hampered by features missing from Datalog but found in EqSat or vice-versa. We evaluate our system by reimplementing those projects in egglog. The resulting systems in egglog are faster, simpler, and fix bugs found in the original systems."
"Contact Force Control with Continuously Compliant Robotic Legs.","2023","ICRA","Robin Bendfeld, C. David Remy","Conference and Workshop Papers","https://dblp.org/rec/conf/icra/BendfeldR23",""
"Inhomogeneous Magnetization Transfer (ihMT) imaging in the acute cuprizone mouse model of demyelination/remyelination.","2023","NeuroImage","Andreea Hertanu, Lucas Soustelle, Julie Buron, Julie Le Priellec, Myriam Cayre, Arnaud Le Troter, Valentin H. Prevost, Jean-Philippe Ranjeva, Gopal Varma, David C. Alsop, Pascale Durbec, Olivier M. Girard, Guillaume Duhamel","Journal Articles","https://dblp.org/rec/journals/neuroimage/HertanuSBPCTPRV23",""
