"title","year","venue","authors","type","url","abstract"
"Adaptive Out-Orientations with Applications.","2024","SODA","Chandra Chekuri, Aleksander Bjørn Grodt Christiansen, Jacob Holm, Ivor van der Hoog, Kent Quanrud, Eva Rotenberg, Chris Schwiegelshohn","Conference and Workshop Papers","https://dblp.org/rec/conf/soda/ChekuriCHHQRS24","In this chapter, we continue our considerations of mountings for mirrors by discussing techniques that can be used to mount nonmetallic mirrors in the size range from about 0.89 m (35 in.) in diameter to 8.4 m (331 in.). Weight minimization is increasingly important as mirror size increases. With the exception of space-borne applications, the mirrors considered here are too flexible for 3-point, rim, or hub mounting during use and so must be supported at many points. Axial supports, generally applied to the back of the mirror, radial supports, generally applied to the rim of the mirror, and ""defining supports"" (locating and orienting the mirror) pose major design issues. Some mirrors have these forces applied within the interior of the substrate at the neutral surface where gravitational moments acting on the localized volumes are balanced. Most of the large mirrors mentioned here are intended for astronomical applications as scientists begin to reap the benefits of new design, manufacturing, and control technologies that break the size limitations previously imposed on ground-based systems by residual manufacturing errors, gravitational effects, and atmospheric turbulence. Mountings for selected examples of historically important telescope mirrors as well as operational and developmental telescope mirrors are considered. Mountings for mirrors used or tested with their axes in fixed orientations, horizontal or vertical, also are discussed. Some challenges of mounting large (~8-m) aperture, thin mirrors on active mechanisms that maintain required optical performance under the command of control systems with optical surface figure or image quality sensors are pointed out. An example of such an ""adaptive"" mirror (for the Gemini telescopes) is discussed. Finally, some unique features of the mountings for large mirrors in two highly successful space borne telescopes (Hubble and Chandra) are reviewed."
"Emergence of Chemotactic Strategies with Multi-Agent Reinforcement Learning.","2024","CoRR","Samuel Tovey, Christoph Lohrmann, Christian Holm","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2404-01999","
 Reinforcement learning (RL) is a ﬂexible and eﬃcient method for programming micro-robots in complex environments. Here we investigate whether reinforcement learning can provide insights into biological systems when trained to perform chemotaxis. Namely, whether we can learn about how intelligent agents process given information in order to swim towards a target. We run simulations covering a range of agent shapes, sizes, and swim speeds to determine if the physical constraints on biological swimmers, namely Brownian motion, lead to regions where reinforcement learners’ training fails. We ﬁnd that the RL agents can perform chemotaxis as soon as it is physically possible and, in some cases, even before the active swimming overpowers the stochastic environment. We study the eﬃciency of the emergent policy and identify convergence in agent size and swim speeds. Finally, we study the strategy adopted by the reinforcement learning algorithm to explain how the agents perform their tasks. To this end, we identify three emerging dominant strategies and several rare approaches taken. These strategies, whilst producing almost identical trajectories in simulation, are distinct and give insight into the possible mechanisms behind which biological agents explore their environment and respond to changing conditions."
"Ethical AI and Education: The Need for International Regulation to Foster Human Rights, Democracy and the Rule of Law.","2024","AIED Companion","Christian M. Stracke, Irene-Angelica Chounta, Vania Dimitrova, Beth Havinga, Wayne Holmes","Conference and Workshop Papers","https://dblp.org/rec/conf/aied/StrackeCDHH24",""
"Excessive Oxygen Administration in High-Risk Patients Admitted to Medical and Surgical Wards Monitored by Wireless Pulse Oximeter.","2024","Sensors","Clara E. Mathar, Camilla Haahr-Raunkjær, Mikkel Elvekjær, Ying Gu, Claire P. Holm, Michael P. Achiam, Lars N. Jorgensen, Eske Kvanner Aasvang, Christian S. Meyhoff","Journal Articles","https://dblp.org/rec/journals/sensors/MatharHEGHAJAM24","The monitoring of oxygen therapy when patients are admitted to medical and surgical wards could be important because exposure to excessive oxygen administration (EOA) may have fatal consequences. We aimed to investigate the association between EOA, monitored by wireless pulse oximeter, and nonfatal serious adverse events (SAEs) and mortality within 30 days. We included patients in the Capital Region of Copenhagen between 2017 and 2018. Patients were hospitalized due to acute exacerbation of chronic obstructive pulmonary disease (AECOPD) or after major elective abdominal cancer surgery, and all were treated with oxygen supply. Patients were divided into groups by their exposure to EOA: no exposure, exposure for 1–59 min or exposure over 60 min. The primary outcome was SAEs or mortality within 30 days. We retrieved data from 567 patients for a total of 43,833 h, of whom, 63% were not exposed to EOA, 26% had EOA for 1–59 min and 11% had EOA for ≥60 min. Nonfatal SAEs or mortality within 30 days developed in 24%, 12% and 22%, respectively, and the adjusted odds ratio for this was 0.98 (95% CI, 0.96–1.01) for every 10 min. increase in EOA, without any subgroup effects. In conclusion, we did not observe higher frequencies of nonfatal SAEs or mortality within 30 days in patients exposed to excessive oxygen administration."
"Generating Reservoir State Descriptions with Random Matrices.","2024","CoRR","Samuel Tovey, Christian Holm, Michael Spannowsky","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2404-07278","We demonstrate a novel approach to reservoir computer measurements using random matrices. We do so to motivate how atomic-scale devices might be used for real-world computing applications. Our approach uses random matrices to construct reservoir measurements, introducing a simple, scalable means for producing state descriptions. In our studies, two reservoirs, a five-atom Heisenberg spin chain, and a five-qubit quantum circuit, perform time series prediction and data interpolation. The performance of the measurement technique and current limitations are discussed in detail alongside an exploration of the diversity of measurements yielded by the random matrices. Additionally, we explore the role of the parameters of the reservoirs, adjusting coupling strength and the measurement dimension, yielding insights into how these learning machines might be automatically tuned for different problems. This research highlights using random matrices to measure simple quantum reservoirs for natural learning devices and outlines a path forward for improving their performance and experimental realization."
"Global Trends in Scientific Debates on Trustworthy and Ethical Artificial Intelligence and Education.","2024","AIED Companion","Christian M. Stracke, Irene-Angelica Chounta, Wayne Holmes","Conference and Workshop Papers","https://dblp.org/rec/conf/aied/StrackeCH24",""
"Participatory Design Sprints - Employing PD Principles in a Condensed Format.","2024","PDC","Christian Dindler, Ole Sejer Iversen, Katrine Holm Kanstrup, Maarten Van Mechelen, Marie-Louise Wagner","Conference and Workshop Papers","https://dblp.org/rec/conf/pdc/DindlerIKMW24",""
"SwarmRL: Building the Future of Smart Active Systems.","2024","CoRR","Samuel Tovey, Christoph Lohrmann, Tobias Merkt, David Zimmer, Konstantin Nikolaou, Simon Koppenhoefer, Anna Bushmakina, Jonas Scheunemann, Christian Holm","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2404-16388","This work introduces SwarmRL, a Python package designed to study intelligent active particles. SwarmRL provides an easy-to-use interface for developing models to control microscopic colloids using classical control and deep reinforcement learning approaches. These models may be deployed in simulations or real-world environments under a common framework. We explain the structure of the software and its key features and demonstrate how it can be used to accelerate research. With SwarmRL, we aim to streamline research into micro-robotic control while bridging the gap between experimental and simulation-driven sciences. SwarmRL is available open-source on GitHub at https://github.com/SwarmRL/SwarmRL."
"Towards a Sustainable Digitalization Roadmap for SMEs.","2024","APMS","Daryl Powell, Jacobo Marino, Christian Holm Edvardsen, Emrah Arica","Conference and Workshop Papers","https://dblp.org/rec/conf/ifip5-7/PowellMEA24",""
"Using Large Language Models to Understand Telecom Standards.","2024","CoRR","Athanasios Karapantelakis, Mukesh Thakur, Alexandros Nikou, Farnaz Moradi, Christian Orlog, Fitsum Gaim, Henrik Holm, Doumitrou Daniil Nimara, Vincent Huang 0002","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2404-02929","The Third Generation Partnership Project (3GPP) has successfully introduced standards for global mobility. However, the volume and complexity of these standards has increased over time, thus complicating access to relevant information for vendors and service providers. Use of Generative AI and in particular Large Language Models, may provide faster access to relevant information. In this paper, we evaluate the capability of state-of-art models to be used as Question-Answering assistants for technical standards document reference. Our contribution is threefold. First, we provide a benchmark and measuring method for evaluating performance of Large Language Models. Second, we do data preprocessing and finetuning for one of these models and provide guidelines to increase model performance. Third, we provide a model of our own, TeleRoBERTa, that performs on-par with foundation models but with an order of magnitude less number of parameters. Results show that Large Language Models can be used as a credible reference tool on telecom technical documents, and thus have potential for a number of different applications from troubleshooting and maintenance, to network operations and software product development."
