"title","year","venue","authors","type","url","abstract"
"Agents of MASK: Mobile Analytics from Situated Knowledge.","2024","Interactions","Neven Abdelaziz Mohamed ElSayed, Eduardo Enrique Veas, Dieter Schmalstieg","Journal Articles","https://dblp.org/rec/journals/interactions/ElSayedVS24","reality"
"Brushing and Linking for Situated Analytics.","2024","VR Workshops","Carlos Quijano-Chavez, Nina Doerr, Benjamin Lee, Dieter Schmalstieg, Michael Sedlmair","Conference and Workshop Papers","https://dblp.org/rec/conf/vr/Quijano-ChavezD24",""
"Deep Medial Voxels: Learned Medial Axis Approximations for Anatomical Shape Modeling.","2024","CoRR","Antonio Pepe 0003, Richard Schussnig, Jianning Li, Christina Gsaxner, Dieter Schmalstieg, Jan Egger","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2403-11790","Shape reconstruction from imaging volumes is a recurring need in medical image analysis. Common workflows start with a segmentation step, followed by careful post-processing and,finally, ad hoc meshing algorithms. As this sequence can be timeconsuming, neural networks are trained to reconstruct shapes through template deformation. These networks deliver state-ofthe-art results without manual intervention, but, so far, they have primarily been evaluated on anatomical shapes with little topological variety between individuals. In contrast, other works favor learning implicit shape models, which have multiple benefits for meshing and visualization. Our work follows this direction by introducing deep medial voxels, a semi-implicit representation that faithfully approximates the topological skeleton from imaging volumes and eventually leads to shape reconstruction via convolution surfaces. Our reconstruction technique shows potential for both visualization and computer simulations."
"DeepDR: Deep Structure-Aware RGB-D Inpainting for Diminished Reality.","2024","3DV","Christina Gsaxner, Shohei Mori, Dieter Schmalstieg, Jan Egger, Gerhard Paar, Werner Bailer, Denis Kalkofen","Conference and Workshop Papers","https://dblp.org/rec/conf/3dim/GsaxnerMSEPBK24",""
"Design Patterns for Situated Visualization in Augmented Reality.","2024","IEEE Trans. Vis. Comput. Graph.","Benjamin Lee, Michael Sedlmair, Dieter Schmalstieg","Journal Articles","https://dblp.org/rec/journals/tvcg/LeeSS24","Situated visualization has become an increasingly popular research area in the visualization community, fueled by advancements in augmented reality (AR) technology and immersive analytics. Visualizing data in spatial proximity to their physical referents affords new design opportunities and considerations not present in traditional visualization, which researchers are now beginning to explore. However, the AR research community has an extensive history of designing graphics that are displayed in highly physical contexts. In this work, we leverage the richness of AR research and apply it to situated visualization. We derive design patterns which summarize common approaches of visualizing data in situ. The design patterns are based on a survey of 293 papers published in the AR and visualization communities, as well as our own expertise. We discuss design dimensions that help to describe both our patterns and previous work in the literature. This discussion is accompanied by several guidelines which explain how to apply the patterns given the constraints imposed by the real world. We conclude by discussing future research directions that will help establish a complete understanding of the design of situated visualization, including the role of interactivity, tasks, and workflows."
"End-to-End Compressed Meshlet Rendering.","2024","Comput. Graph. Forum","Daniel Mlakar, Markus Steinberger, Dieter Schmalstieg","Journal Articles","https://dblp.org/rec/journals/cgf/MlakarSS24","In this paper, we study rendering of end‐to‐end compressed triangle meshes using modern GPU techniques, in particular, mesh shaders. Our approach allows us to keep unstructured triangle meshes in GPU memory in compressed form and decompress them in shader code just in time for rasterization. Typical previous approaches use a compressed mesh format only for persistent storage and streaming, but must decompress it into GPU memory before submitting it to rendering. In contrast, our approach uses an identical compressed format in both storage and GPU memory. Hence, our compression method effectively reduces the in‐memory requirements of huge triangular meshes and avoids any waiting times on streaming geometry induced by the need for a decompression stage on the CPU. End‐to‐end compression also means that scenes with more geometric detail than previously possible can be made fully resident in GPU memory. Our approach is based on a novel decomposition of meshes into meshlets, i.e. disjoint primitive groups that are compressed individually. Decompression using a mesh shader allows de facto random access on the primitive level, which is important for applications such as selective streaming and fine‐grained visibility computation. We compare our approach to multiple commonly used compressed meshlet formats in terms of required memory and rendering times. The results imply that our approach reduces the required CPU–GPU memory bandwidth, a frequent bottleneck in out‐of‐core rendering."
"Envisioning Situated Visualizations of Environmental Footprints in an Urban Environment.","2024","CoRR","Yvonne Jansen, Federica Bucchieri, Pierre Dragicevic, Martin Hachet, Morgane Koval, Léana Petiot, Arnaud Prouzeau, Dieter Schmalstieg, Lijie Yao, Petra Isenberg","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2409-07006","We present the results of a brainstorming exercise focused on how situated visualizations could be used to better understand the state of the environment and our personal behavioral impact on it. Specifically, we conducted a day long workshop in the French city of Bordeaux where we envisioned situated visualizations of urban environmental footprints. We explored the city and took photos and notes about possible situated visualizations of environmental footprints that could be embedded near places, people, or objects of interest. We found that our designs targeted four purposes and used four different methods that could be further explored to test situated visualizations for the protection of the environment."
"Higher-order block-structured hex meshing of tubular structures.","2024","Eng. Comput.","Domagoj Bosnjak, Antonio Pepe 0003, Richard Schussnig, Dieter Schmalstieg, Thomas-Peter Fries","Journal Articles","https://dblp.org/rec/journals/ewc/BosnjakPSSF24","AbstractNumerical simulations of the cardiovascular system are growing in popularity due to the increasing availability of computational power, and their proven contribution to the understanding of pathodynamics and validation of medical devices with in-silico trials as a potential future breakthrough. Such simulations are performed on volumetric meshes reconstructed from patient-specific imaging data. These meshes are most often unstructured, and result in a brutally large amount of elements, significantly increasing the computational complexity of the simulations, whilst potentially adversely affecting their accuracy. To reduce such complexity, we introduce a new approach for fully automatic generation of higher-order, structured hexahedral meshes of tubular structures, with a focus on healthy blood vessels. The structures are modeled as skeleton-based convolution surfaces. From the same skeleton, the topology is captured by a block-structure, and the geometry by a higher-order surface mesh. Grading may be induced to obtain tailored refinement, thus resolving, e.g., boundary layers. The volumetric meshing is then performed via transfinite mappings. The resulting meshes are of arbitrary order, their elements are of good quality, while the spatial resolution may be as coarse as needed, greatly reducing computing time. Their suitability for practical applications is showcased by a simulation of physiological blood flow modelled by a generalised Newtonian fluid in the human aorta."
"Instant Segmentation and Fitting of Excavations in Subsurface Utility Engineering.","2024","IEEE Trans. Vis. Comput. Graph.","Marco Stranner, Philipp Fleck, Dieter Schmalstieg, Clemens Arth","Journal Articles","https://dblp.org/rec/journals/tvcg/StrannerFSA24",""
"Neural Bokeh: Learning Lens Blur for Computational Videography and Out-of-Focus Mixed Reality.","2024","VR","David Mandl, Shohei Mori, Peter Mohr, Yifan Peng, Tobias Langlotz, Dieter Schmalstieg, Denis Kalkofen","Conference and Workshop Papers","https://dblp.org/rec/conf/vr/MandlMMPLSK24","We present Neural Bokeh, a deep learning approach for synthesizing convincing out-of-focus effects with applications in Mixed Reality (MR) image and video compositing. Unlike existing approaches that solely learn the amount of blur for out-of-focus areas, our approach captures the overall characteristic of the bokeh to enable the seamless integration of rendered scene content into real images, ensuring a consistent lens blur over the resulting MR composition. Our method learns spatially varying blur shapes, i.e., bokeh, from a dataset of real images acquired using the physical camera that is used to capture the photograph or video of the MR composition. Accordingly, those learned blur shapes mimic the characteristics of the physical lens. As the run-time and the resulting quality of Neural Bokeh increase with the resolution of input images, we employ low-resolution images for the MR view finding at runtime and high-resolution renderings for compositing with high-resolution photographs or videos in an offline process. We envision a variety of applications, including visual enhancement of image and video compositing containing creative utilization of out-of-focus effects."
