"title","year","venue","authors","type","url","abstract"
"A Window-Based Periodic Event-Triggered Consensus Scheme for Multiagent Systems.","2024","IEEE Trans. Control. Netw. Syst.","Marc Seidel, Michael Hertneck, Pian Yu, Steffen Linsenmayer, Dimos V. Dimarogonas, Frank Allgöwer","Journal Articles","https://dblp.org/rec/journals/tcns/SeidelHYLDA24","In this article, we consider the periodic event-triggered consensus problem for single-integrator multiagent systems. In existing approaches, consensus is typically achieved by trigger schemes enforcing a monotone decrease of a Lyapunov function. Such trigger schemes may, however, result in more transmissions than are actually required to ensure consensus or meet certain performance specifications. This is because a monotone decrease may be a rather conservative condition for a given Lyapunov function in an event-triggered setting. To overcome the conservativity, we propose a novel window-based trigger scheme, which allows us to leverage existing trigger schemes from the literature to derive less conservative ones. This is achieved by taking the past system behavior into account and allowing a temporary increase of the Lyapunov function as long as a decreasing tendency is still guaranteed. For that, information from previous time steps within certain time windows is considered. We provide an explicit bound on the evolution of the Lyapunov function that is the same for the window-based scheme and the (monotone) original trigger schemes. To illustrate the benefits of the window-based scheme, we validate its efficacy through a comprehensive simulation study and demonstrate that the scheme typically reduces the average update rate of the underlying communication structure in comparison to the original trigger schemes."
"An Lp-norm framework for event-triggered control.","2024","ECC","Michael Hertneck, Alejandro I. Maass, Dragan Nesic, Frank Allgöwer","Conference and Workshop Papers","https://dblp.org/rec/conf/eucc/HertneckMNA24",""
"An overview of systems-theoretic guarantees in data-driven model predictive control.","2024","CoRR","Julian Berberich, Frank Allgöwer","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2406-04130","The development of control methods based on data has seen a surge of interest in recent years. When applying data-driven controllers in real-world applications, providing theoretical guarantees for the closed-loop system is of crucial importance to ensure reliable operation. In this review, we provide an overview of data-driven model predictive control (MPC) methods for controlling unknown systems with guarantees on systems-theoretic properties such as stability, robustness, and constraint satisfaction. The considered approaches rely on the fundamental lemma from behavioral theory in order to predict input–output trajectories directly from data. We cover various setups, ranging from linear systems and noise-free data to more realistic formulations with noise and nonlinearities, and we provide an overview of different techniques to ensure guarantees for the closed-loop system. Moreover, we discuss avenues for future research that may further improve the theoretical understanding and practical applicability of data-driven MPC."
"Analysis and design of model predictive control frameworks for dynamic operation - An overview.","2024","Annu. Rev. Control.","Johannes Köhler, Matthias Albrecht Müller, Frank Allgöwer","Journal Articles","https://dblp.org/rec/journals/arc/KohlerMA24",""
"Bootstrapping Guarantees: Stability and Performance Analysis for Dynamic Encrypted Control.","2024","IEEE Control. Syst. Lett.","Sebastian Schlor, Frank Allgöwer","Journal Articles","https://dblp.org/rec/journals/csysl/SchlorA24","Encrypted dynamic controllers that operate for an unlimited time have been a challenging research subject. The fundamental difficulty is the accumulation of errors and scaling factors in the internal state during operation. Bootstrapping, a technique commonly employed in fully homomorphic cryptosystems, can be used to avoid overflows in the controller state but can potentially introduce significant numerical errors. This letter analyzes dynamic encrypted control with explicit consideration of bootstrapping. By recognizing the bootstrapping errors occurring in the controller’s state as an uncertainty in the robust control framework, we can provide stability and performance guarantees for the whole encrypted control system. Further, the conservatism of the stability and performance test is reduced by using a lifted version of the control system."
"Collision Avoidance Safety Filter for an Autonomous E-Scooter using Ultrasonic Sensors.","2024","CoRR","Robin Strässer, Marc Seidel, Felix Brändle, David Meister, Raffaele Soloperto, David Hambach Ferrer, Frank Allgöwer","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2403-15116",""
"Data-Driven Min-Max MPC for Linear Systems.","2024","ACC","Yifan Xie, Julian Berberich, Frank Allgöwer","Conference and Workshop Papers","https://dblp.org/rec/conf/amcc/XieBA24","Designing data-driven controllers in the presence of noise is an important research problem, in particular when guarantees on stability, robustness, and constraint satisfaction are desired. In this paper, we propose a data-driven min-max model predictive control (MPC) scheme to design state-feedback controllers from noisy data for unknown linear time-invariant (LTI) system. The considered min-max problem minimizes the worst-case cost over the set of system matrices consistent with the data. We show that the resulting optimization problem can be reformulated as a semidefinite program (SDP). By solving the SDP, we obtain a state-feedback control law that stabilizes the closed-loop system and guarantees input and state constraint satisfaction. A numerical example demonstrates the validity of our theoretical results."
"Data-Driven Min-Max MPC for Linear Systems: Robustness and Adaptation.","2024","CoRR","Yifan Xie, Julian Berberich, Frank Allgöwer","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2404-19096","Designing data-driven controllers in the presence of noise is an important research problem, in particular when guarantees on stability, robustness, and constraint satisfaction are desired. In this paper, we propose a data-driven min-max model predictive control (MPC) scheme to design state-feedback controllers from noisy data for unknown linear time-invariant (LTI) system. The considered min-max problem minimizes the worst-case cost over the set of system matrices consistent with the data. We show that the resulting optimization problem can be reformulated as a semidefinite program (SDP). By solving the SDP, we obtain a state-feedback control law that stabilizes the closed-loop system and guarantees input and state constraint satisfaction. A numerical example demonstrates the validity of our theoretical results."
"Data-Driven System Analysis of Nonlinear Systems Using Polynomial Approximation.","2024","IEEE Trans. Autom. Control.","Tim Martin, Frank Allgöwer","Journal Articles","https://dblp.org/rec/journals/tac/MartinA24","In the context of data-driven control of nonlinear systems, many approaches lack of rigorous guarantees, call for nonconvex optimization, or require knowledge of a function basis containing the system dynamics. To tackle these drawbacks, we establish a polynomial representation of nonlinear functions based on a polynomial sector by Taylor's theorem and a set-membership for Taylor polynomials. The latter is obtained from finite noisy samples. By incorporating the measurement noise, the error of polynomial approximation, and potentially given prior knowledge on the structure of the system dynamics, we achieve computationally tractable conditions by sum of squares relaxation to verify dissipativity of nonlinear dynamical systems with rigorous guarantees. The framework is extended by combining multiple Taylor polynomial approximations, which yields a less conservative piecewise polynomial system representation. The proposed approach is applied for an experimental example. There it is compared with a least-squares-error model including knowledge from first principle."
"Data-driven MPC with terminal conditions in the Koopman framework.","2024","CoRR","Karl Worthmann, Robin Strässer, Manuel Schaller, Julian Berberich, Frank Allgöwer","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2408-12457","We investigate nonlinear model predictive control (MPC) with terminal conditions in the Koopman framework using extended dynamic mode decomposition (EDMD) to generate a data-based surrogate model for prediction and optimization. We rigorously show recursive feasibility and prove practical asymptotic stability w.r.t. the approximation accuracy. To this end, finite-data error bounds are employed. The construction of the terminal conditions is based on recently derived proportional error bounds to ensure the required Lyapunov decrease. Finally, we illustrate the effectiveness of the proposed data-driven predictive controller including the design procedure to construct the terminal region and controller."
