"title","year","venue","authors","type","url","abstract"
"Beyond Recommendations: From Backward to Forward AI Support of Pilots' Decision-Making Process.","2024","CoRR","Zelun Tony Zhang, Sebastian S. Feger, Lucas Dullenkopf, Rulu Liao, Lukas Süsslin, Yuanting Liu, Andreas Butz","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2406-08959","AI is anticipated to enhance human decision-making in high-stakes domains like aviation, but adoption is often hindered by challenges such as inappropriate reliance and poor alignment with users' decision-making. Recent research suggests that a core underlying issue is the recommendation-centric design of many AI systems, i.e., they give end-to-end recommendations and ignore the rest of the decision-making process. Alternative support paradigms are rare, and it remains unclear how the few that do exist compare to recommendation-centric support. In this work, we aimed to empirically compare recommendation-centric support to an alternative paradigm, continuous support, in the context of diversions in aviation. We conducted a mixed-methods study with 32 professional pilots in a realistic setting. To ensure the quality of our study scenarios, we conducted a focus group with four additional pilots prior to the study. We found that continuous support can support pilots' decision-making in a forward direction, allowing them to think more beyond the limits of the system and make faster decisions when combined with recommendations, though the forward support can be disrupted. Participants' statements further suggest a shift in design goal away from providing recommendations, to supporting quick information gathering. Our results show ways to design more helpful and effective AI decision support that goes beyond end-to-end recommendations."
"Embracer: A Wearable Encountered-Type Haptic Controller for 3 DoF Input and Feedback.","2024","ISWC","Dennis Dietz, Steeven Villa, Moritz Ziarko, Michael Bonfert, Florian Müller 0003, Andreas Butz","Conference and Workshop Papers","https://dblp.org/rec/conf/iswc/DietzVZB0B24",""
"Integrating Crowd and Machine Learning in an Intelligent Interface: A Case Study of Oil Spill Detection in Satellite Images.","2024","AVI","Rifat Mehreen Amin, Feng Chen, Linda Hirsch, Changkun Ou, Tran Vu La, Andreas Butz","Conference and Workshop Papers","https://dblp.org/rec/conf/avi/AminCHOLB24","Object detection tasks still often require manual image analysis. Using Machine Learning (ML) instead creates accountability challenges, necessitating experts for model refinement, which is costly and takes time. We investigate integrating crowd knowledge as a cost-effective alternative. While human capabilities in recognizing complex patterns and perceiving variations can still outperform machines and improve an imperfect ML model, ML predictions can compensate for the crowd’s lack of expertise. Our investigation (N=28 non-expert) in oil spill detection shows that adopting an ML-assisted UI elevates precision and recall by over 11% and increases efficiency by 29% compared to a non-assisted UI. Considering agreement among non-expert crowd workers further improved precision by 8% and recall by almost 5%, which is also substantially beyond pure ML performance. Our work contributes an approach for combining crowd knowledge and ML to advance human-AI collaboration in oil spill detection."
"Social MediARverse Investigating Users Social Media Content Sharing and Consuming Intentions with Location-Based AR.","2024","CoRR","Linda Hirsch, Florian Müller 0003, Mari Kruse, Andreas Butz, Robin Welsch","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2409-00211","Augmented Reality (AR) is evolving to become the next frontier in social media, merging physical and virtual reality into a living metaverse, a Social MediARverse. With this transition, we must understand how different contexts (public, semi-public, and private) affect user engagement with AR content. We address this gap in current research by conducting an online survey with 110 participants, showcasing 36 AR videos, and polling them about the content's fit and appropriateness. Specifically, we manipulated these three spaces, two forms of dynamism (dynamic vs. static), and two dimensionalities (2D vs. 3D). Our findings reveal that dynamic AR content is generally more favorably received than static content. Additionally, users find sharing and engaging with AR content in private settings more comfortable than in others. By this, the study offers valuable insights for designing and implementing future Social MediARverses and guides industry and academia on content visualization and contextual considerations."
"The Fernstudent. A User-Centered Design Case Study on Improvements of Hybrid Teaching Through A Physical Avatar in the Classroom.","2024","CHI Extended Abstracts","Daniel Ullrich, Andreas Martin Butz, Sarah Diefenbach","Conference and Workshop Papers","https://dblp.org/rec/conf/chi/UllrichBD24",""
"Tommi - A Web-Based Serious Game for Children Incentivizing a Healthy Lifestyle Combined with Environmental Awareness.","2024","HCI","Christian Eichhorn 0002, Christian Schepers, David A. Plecher, Atsushi Hiyama, Andreas Butz, Gudrun Klinker","Conference and Workshop Papers","https://dblp.org/rec/conf/hci/EichhornSPHBK24",""
"Using Machine Learning to Improve Interactive Visualizations for Large Collected Traffic Detector Data.","2024","IUI","Rifat Mehreen Amin, Pia Hammer, Andreas Butz","Conference and Workshop Papers","https://dblp.org/rec/conf/iui/AminHB24","In traffic engineering, cities rely on large detector datasets to manage traffic. Visualizing these big, multi-dimensional datasets poses challenges such as overplotting and dimension reduction, often rendering traditional visualization techniques inadequate. To address this, we added two machine learning (ML) algorithms (Local Outlier Factor algorithm and K-Prototypes clustering) to an interactive time series visualization to improve exploration by both domain experts and non-experts. We used an original detector dataset of a mid-sized German city. Our findings reveal that the ML algorithms greatly enhanced data exploration in these interactive visualizations, particularly for users with limited domain knowledge. This research directly contributes to the design of traffic data analysis tools, offering a foundation for traffic detection hardware and software improvements but also advancing complex dataset visualization in general. It will ultimately lead to more informed decisions, improved traffic management, and has the potential to reduce air pollutants, thus counteracting climate change."
"VReflect: Designing VR-Based Movement Training with Perspectives, Mirrors and Avatars.","2024","VRST","Dennis Dietz, Fabian Berger, Changkun Ou, Francesco Chiossi, Giancarlo Graeber, Andreas Martin Butz, Matthias Hoppe 0001","Conference and Workshop Papers","https://dblp.org/rec/conf/vrst/DietzBOCGB024",""
"Where the Wild Things Are - A Trip to the Pervasive Multiverse and Its Inhabitants.","2024","IEEE Pervasive Comput.","Andreas Butz, Carl Oechsner, Svenja Schött, Daniel Ullrich, Sarah Diefenbach, Sidney Fels","Journal Articles","https://dblp.org/rec/journals/pervasive/ButzOSUDF24","Starting from the very idea of a pervasive multiverse, we analyze what it means conceptually, what things and beings inhabit it, and what rules guide their existence and actions. Next, we provide a psychological and partially philosophical view on this construct and derive some of the risks and opportunities that exist there, eventually leading toward a research agenda for individual and societal concerns and promising approaches to address them in this novel but fast-developing field."
"You Can Only Verify When You Know the Answer: Feature-Based Explanations Reduce Overreliance on AI for Easy Decisions, but Not for Hard Ones.","2024","MuC","Zelun Tony Zhang, Felicitas Buchner, Yuanting Liu, Andreas Butz","Conference and Workshop Papers","https://dblp.org/rec/conf/mc/ZhangBLB24","Explaining the mechanisms behind model predictions is a common strategy in AI-assisted decision-making to help users rely appropriately on AI. However, recent research shows that the effectiveness of explanations depends on numerous factors, leading to mixed results, with many studies finding no effect or even an increase in overreliance, while explanations do improve appropriate reliance in other studies. We consider the factor of decision difficulty to better understand when feature-based explanations can mitigate overre-liance. To this end, we conducted an online experiment ( 𝑁 = 200) with carefully selected task instances that cover a wide range of difficulties. We found that explanations reduce overreliance for easy decisions, but that this effect vanishes with increasing decision difficulty. For the most difficult decisions, explanations might even increase overreliance. Our results imply that explanations of the model’s inner workings are only helpful for a limited set of decision tasks where users easily know the answer themselves"
"A Literature Survey of How to Convey Transparency in Co-Located Human-Robot Interaction.","2023","Multimodal Technol. Interact.","Svenja Yvonne Schött, Rifat Mehreen Amin, Andreas Butz","Journal Articles","https://dblp.org/rec/journals/mti/SchottAB23","In human–robot interaction, transparency is essential to ensure that humans understand and trust robots. Understanding is vital from an ethical perspective and benefits interaction, e.g., through appropriate trust. While there is research on explanations and their content, the methods used to convey the explanations are underexplored. It remains unclear which approaches are used to foster understanding. To this end, we contribute a systematic literature review exploring how robot transparency is fostered in papers published in the ACM Digital Library and IEEE Xplore. We found that researchers predominantly rely on monomodal visual or verbal explanations to foster understanding. Commonly, these explanations are external, as opposed to being integrated in the robot design. This paper provides an overview of how transparency is communicated in human–robot interaction research and derives a classification with concrete recommendations for communicating transparency. Our results establish a solid base for consistent, transparent human–robot interaction designs."
"An empirical study to design interactions with historical buildings used for everyday activities.","2023","KUI","Linda Hirsch, Daniel Buschek, Eileen Einwächter, Louisa Bekker, Andreas Butz","Conference and Workshop Papers","https://dblp.org/rec/conf/kui/HirschBEBB23","Many historical buildings are challenged to comply with their dual purpose of being society's living memory and being used for everyday activities, such as a place to work or study. Direct interactions with such buildings could counteract this challenge and integrate their historical significance with contemporary needs. However, there is a lack of knowledge about designing this. We approached the gap in an iterative design process by conducting four expert interviews and two building walks with N=16 building users at a public historical building. Our results highlight the importance for building users to integrate historical significance and contemporary needs into their routines to increase their connection to the building and its past users. We provide three design implications for designing the interaction with historical buildings in everyday life and emphasize research implications for future projects. Our findings emphasize the need for interdisciplinary collaboration between Human-computer interaction research areas."
"Is Overreliance on AI Provoked by Study Design?","2023","INTERACT","Zelun Tony Zhang, Sven Tong, Yuanting Liu, Andreas Butz","Conference and Workshop Papers","https://dblp.org/rec/conf/interact/ZhangTLB23",""
