"title","year","venue","authors","type","url","abstract"
"A Mastodon Corpus to Evaluate Federated Microblog Search.","2024","WOWS@ECIR","Matti Wiegmann, Jan Heinrich Reimer, Maximilian Ernst, Martin Potthast, Matthias Hagen, Benno Stein 0001","Conference and Workshop Papers","https://dblp.org/rec/conf/wows/WiegmannREPH024","In this paper, we present the Webis Mastodon Corpus 2024, a collection of about 733 million public posts from the timelines of 1,015 Mastodon nodes across 61 days. Mastodon is a federated open-source microblogging platform that gained a lot of attention in 2023 as an alternative to Twitter (now rebranded as X). However, searching Mastodon is not straightforward due to its federated architecture. This presents an interesting new challenge for federated IR research, and our corpus is meant as a starting point for the new direction of federated microblog search. To ensure privacy, we host the corpus on TIREx, where it can be processed but neither read nor downloaded, with the goal of developing a shared task and a public leaderboard. We also publish our parallelized and polite Mastodon crawler alongside this paper. 1"
"Assimilating Sentinel-2 data in a modified vegetation photosynthesis and respiration model (VPRM) to improve the simulation of croplands CO2 fluxes in Europe.","2024","Int. J. Appl. Earth Obs. Geoinformation","Hassan Bazzi, Philippe Ciais, Ezzeddine Abbessi, David Makowski, Diego Santaren, Eric Ceschia, Aurore Brut, Tiphaine Tallec, Nina Buchmann, Regine Maier, Manuel Acosta, Benjamin Loubet, Pauline Buysse, Joël Léonard, Frédéric Bornet, Ibrahim Fayad, Jinghui Lian, Nicolas N. Baghdadi, Ricard Segura Barrero, Christian Brümmer, Marius Schmidt, Bernard Heinesch, Matthias Mauder, Thomas Grünwald","Journal Articles","https://dblp.org/rec/journals/aeog/BazziCAMSCBTBMA24",""
"Clinical Melanoma Diagnosis with Artificial Intelligence: Insights from a Prospective Multicenter Study.","2024","CoRR","Lukas Heinlein, Roman C. Maron, Achim Hekler, Sarah Haggenmüller, Christoph Wies, Jochen S. Utikal, Friedegund Meier, Sarah Hobelsberger, Frank Friedrich Gellrich, Mildred Sergon, Axel Hauschild, Lars E. French, Lucie Heinzerling, Justin G. Schlager, Kamran Ghoreschi, Max Schlaak, Franz J. Hilke, Gabriela Poch, Sören Korsing, Carola Berking, Markus V. Heppt, Michael Erdmann, Sebastian Haferkamp, Konstantin Drexler, Dirk Schadendorf, Wiebke Sondermann, Matthias Goebeler, Bastian Schilling, Eva Krieghoff-Henning, Titus J. Brinker","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2401-14193","Early detection of melanoma, a potentially lethal type of skin cancer with high prevalence worldwide, improves patient prognosis. In retrospective studies, artificial intelligence (AI) has proven to be helpful for enhancing melanoma detection. However, there are few prospective studies confirming these promising results. Existing studies are limited by low sample sizes, too homogenous datasets, or lack of inclusion of rare melanoma subtypes, preventing a fair and thorough evaluation of AI and its generalizability, a crucial aspect for its application in the clinical setting. Therefore, we assessed 'All Data are Ext' (ADAE), an established open-source ensemble algorithm for detecting melanomas, by comparing its diagnostic accuracy to that of dermatologists on a prospectively collected, external, heterogeneous test set comprising eight distinct hospitals, four different camera setups, rare melanoma subtypes, and special anatomical sites. We advanced the algorithm with real test-time augmentation (R-TTA, i.e. providing real photographs of lesions taken from multiple angles and averaging the predictions), and evaluated its generalization capabilities. Overall, the AI showed higher balanced accuracy than dermatologists (0.798, 95% confidence interval (CI) 0.779-0.814 vs. 0.781, 95% CI 0.760-0.802; p<0.001), obtaining a higher sensitivity (0.921, 95% CI 0.900- 0.942 vs. 0.734, 95% CI 0.701-0.770; p<0.001) at the cost of a lower specificity (0.673, 95% CI 0.641-0.702 vs. 0.828, 95% CI 0.804-0.852; p<0.001). As the algorithm exhibited a significant performance advantage on our heterogeneous dataset exclusively comprising melanoma-suspicious lesions, AI may offer the potential to support dermatologists particularly in diagnosing challenging cases."
"Finetuning Foundation Models for Joint Analysis Optimization.","2024","CoRR","Matthias Vigl, Nicole Hartman, Lukas Heinrich","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2401-13536","Abstract
               In this work we demonstrate that significant gains in performance and data efficiency can be achieved in High Energy Physics (HEP) by moving beyond the standard paradigm of sequential optimization or reconstruction and analysis components. We conceptually connect HEP reconstruction and analysis to modern machine learning workflows such as pretraining, finetuning, domain adaptation and high-dimensional embedding spaces and quantify the gains in the example usecase of searches of heavy resonances decaying via an intermediate di-Higgs system to four b-jets. To our knowledge this is the first example of a low-level feature extraction network finetuned for a downstream HEP analysis objective."
"MiBi at BioASQ 2024: Retrieval-Augmented Generation for Answering Biomedical Questions.","2024","CLEF","Jan Heinrich Merker, Alexander Bondarenko 0001, Matthias Hagen, Adrian Viehweger","Conference and Workshop Papers","https://dblp.org/rec/conf/clef/Merker0HV24","In this paper, we describe the MiBi team’s participation in the BioASQ 2024 Task 12b on biomedical semantic question answering. Our RAG-based systems (retrieval-augmented generation) use GPT-3.5, GPT-4, or Mixtral to generate an answer from some retrieved context. For the retrieval, we use PubMed’s search API or a local BM25 index of PubMed abstracts and potentially re-rank the initially retrieved abstracts / snippets with different neural bi-encoder and cross-encoder re-rankers. We test five different retrieval-augmented generation schemes with different orders of generation and retrieval stages. The evaluation results for our submitted systems—although partially inconsistent over different test batches— show three general trends. First, combining BM25-based lexical retrieval with neural re-rankers seems to be a good retrieval setup. Second, answers generated from retrieved snippets as context seem more accurate than answers generated from complete abstracts. Third, GPT-4 generates more accurate answers than GPT-3.5, but Mixtral is on par with GPT-4 when employing a generation-then-retrieve-then-generation scheme."
"Numerical scattering amplitudes with pySecDec.","2024","Comput. Phys. Commun.","Gudrun Heinrich, Stephen P. Jones, Matthias Kerner, Vitaly Magerya, A. Olsson, Johannes Schlenk","Journal Articles","https://dblp.org/rec/journals/cphysics/HeinrichJKMOS24",""
"Resources for Combining Teaching and Research in Information Retrieval Coursework.","2024","SIGIR","Maik Fröbe, Harrisen Scells, Theresa Elstner, Christopher Akiki, Lukas Gienapp, Jan Heinrich Reimer, Sean MacAvaney, Benno Stein 0001, Matthias Hagen, Martin Potthast","Conference and Workshop Papers","https://dblp.org/rec/conf/sigir/FrobeSEAGRM0HP24",""
"The Information Retrieval Experiment Platform (Extended Abstract).","2024","IJCAI","Maik Fröbe, Jan Heinrich Reimer, Sean MacAvaney, Niklas Deckers, Simon Reich, Janek Bevendorff, Benno Stein 0001, Matthias Hagen, Martin Potthast","Conference and Workshop Papers","https://dblp.org/rec/conf/ijcai/FrobeRMDRB0HP24","We have built TIREx, the information retrieval experiment platform, to promote standardized, reproducible, scalable, and blinded retrieval experiments. Standardization is achieved through integration with PyTerrier's interfaces and compatibility with ir_datasets and ir_measures. Reproducibility and scalability are based on the underlying TIRA framework, which runs dockerized software in a cloud-native execution environment. Using Docker images of 50 standard retrieval approaches, we evaluated all of them on 32 tasks (i.e., 1,600 runs) in less than a week on a midsize cluster (1,620 CPU cores and 24 GPUs), demonstrating multi-task scalability. Importantly, TIRA also enables blind evaluation of AI experiments, as the test data can be hidden from public access and the tested approaches run in a sandbox that prevents data leaks. Keeping the test data hidden from public access ensures that it cannot be used by third parties for LLM training, preventing future training-test leaks."
"Data Governance Strategies for Data Platforms - a Multiple Case Study in Nursing Care.","2023","ECIS","Rahel Jana Gubser, Matthias Schulte-Althoff, Nils Heinemann, Jörg Pohle, Daniel Fürstenau","Conference and Workshop Papers","https://dblp.org/rec/conf/ecis/GubserSHPF23","It is long established that data from platforms can be useful for deriving patterned insights into people’s behavior and conduct. Data platforms are important in fields with limited data availability and strict regulatory and hierarchical structures, such as healthcare and nursing analytics. Hence, we carefully examine three forerunner initiatives in establishing data platforms in the context of nursing care along normative, organizational, and technical dimensions of governance. The cases were selected due to their high level of comparability and to demonstrate three different types of data governance strategies understood as actions to reconcile conflicting interests regarding data and dealing with prevalent data protection law – ranging from strictly processual approaches to the creation of synthetic data. These findings highlight the importance of considering data governance strategies concisely when building data platforms and suggest considerable variety in the configuration of data governance arrangements."
"Overview of Touché 2023: Argument and Causal Retrieval - Extended Abstract.","2023","ECIR","Alexander Bondarenko 0001, Maik Fröbe, Johannes Kiesel, Ferdinand Schlatt, Valentin Barrière, Brian Ravenet, Léo Hemamou, Simon Luck, Jan Heinrich Reimer, Benno Stein 0001, Martin Potthast, Matthias Hagen","Conference and Workshop Papers","https://dblp.org/rec/conf/ecir/BondarenkoFKSBRHLRSPH23",""
