"title","year","venue","authors","type","url","abstract"
"Analyzing Quantum Programs with LintQ: A Static Analysis Framework for Qiskit.","2024","Proc. ACM Softw. Eng.","Matteo Paltenghi, Michael Pradel","Journal Articles","https://dblp.org/rec/journals/pacmse/PaltenghiP24","As quantum computing is rising in popularity, the amount of quantum programs and the number of developers writing them are increasing rapidly. Unfortunately, writing correct quantum programs is challenging due to various subtle rules developers need to be aware of. Empirical studies show that 40–82% of all bugs in quantum software are specific to the quantum domain. Yet, existing static bug detection frameworks are mostly unaware of quantum-specific concepts, such as circuits, gates, and qubits, and hence miss many bugs. This paper presents LintQ, a comprehensive static analysis framework for detecting bugs in quantum programs. Our approach is enabled by a set of abstractions designed to reason about common concepts in quantum computing without referring to the details of the underlying quantum computing platform. Built on top of these abstractions, LintQ offers an extensible set of ten analyses that detect likely bugs, such as operating on corrupted quantum states, redundant measurements, and incorrect compositions of sub-circuits. We apply the approach to a newly collected dataset of 7,568 real-world Qiskit-based quantum programs, showing that LintQ effectively identifies various programming problems, with a precision of 91.0% in its default configuration with the six best performing analyses. Comparing to a general-purpose linter and two existing quantum-aware techniques shows that almost all problems (92.1%) found by LintQ during our evaluation are missed by prior work. LintQ hence takes an important step toward reliable software in the growing field of quantum computing."
"Calibration and Correctness of Language Models for Code.","2024","CoRR","Claudio Spiess, David Gros, Kunal Suresh Pai, Michael Pradel, Md. Rafiqul Islam Rabin, Amin Alipour, Susmit Jha, Prem Devanbu, Toufique Ahmed","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2402-02047",""
"Can LLMs Replace Manual Annotation of Software Engineering Artifacts?","2024","CoRR","Toufique Ahmed, Premkumar T. Devanbu, Christoph Treude, Michael Pradel","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2408-05534","Experimental evaluations of software engineering innovations, e.g., tools and processes, often include human-subject studies as a component of a multi-pronged strategy to obtain greater generalizability of the findings. However, human-subject studies in our field are challenging, due to the cost and difficulty of finding and employing suitable subjects, ideally, professional programmers with varying degrees of experience. Meanwhile, large language models (LLMs) have recently started to demonstrate human-level performance in several areas. This paper explores the possibility of substituting costly human subjects with much cheaper LLM queries in evaluations of code and code-related artifacts. We study this idea by applying six state-of-the-art LLMs to ten annotation tasks from five datasets created by prior work, such as judging the accuracy of a natural language summary of a method or deciding whether a code change fixes a static analysis warning. Our results show that replacing some human annotation effort with LLMs can produce inter-rater agreements equal or close to human-rater agreement. To help decide when and how to use LLMs in human-subject studies, we propose model-model agreement as a predictor of whether a given task is suitable for LLMs at all, and model confidence as a means to select specific samples where LLMs can safely replace human annotators. Overall, our work is the first step toward mixed human-LLM evaluations in software engineering."
"Code Search (Dagstuhl Seminar 24172).","2024","Dagstuhl Reports","Satish Chandra 0001, Michael Pradel, Kathryn T. Stolee","Informal and Other Publications","https://dblp.org/rec/journals/dagstuhl-reports/0001PS24",""
"De-Hallucinator: Iterative Grounding for LLM-Based Code Completion.","2024","CoRR","Aryaz Eghbali, Michael Pradel","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2401-01701","Large languages models (LLMs) trained on datasets of publicly available source code have established a new state-of-the-art in code completion. However, these models are mostly unaware of the code that already exists within a specific project, preventing the models from making good use of existing APIs. Instead, LLMs often invent, or “hallucinate”, non-existent APIs or produce variants of already existing code. Although the API information is available to IDEs, the input size limit of LLMs prevents code completion techniques from including all relevant context into the prompt. This paper presents De-Hallucinator, an LLM-based code completion technique that grounds the predictions of a model through a novel combination of retrieving suitable API references and iteratively querying the model with increasingly suitable context information in the prompt. The approach exploits the observation that LLMs often predict code that resembles the desired completion, but that fails to correctly refer to already existing APIs. De-Hallucinator automatically identifies project-specific API references related to the code prefix and to the model’s initial predictions and adds these references into the prompt. Our evaluation applies the approach to the task of predicting API usages in open-source Python projects. We show that De-Hallucinator consistently improves the predicted code across four state-of-the-art LLMs compared to querying the model only with the code before the cursor. In particular, the approach improves the edit distance of the predicted code by 23–51% and the recall of correctly predicted API usages by 24–61% relative to the baseline."
"DyPyBench: A Benchmark of Executable Python Software.","2024","Proc. ACM Softw. Eng.","Islem Bouzenia, Bajaj Piyush Krishan, Michael Pradel","Journal Articles","https://dblp.org/rec/journals/pacmse/BouzeniaKP24","Python has emerged as one of the most popular programming languages, extensively utilized in domains such 
 
as machine learning, data analysis, and web applications. Python’s dynamic nature and extensive usage make 
 
it an attractive candidate for dynamic program analysis. However, unlike for other popular languages, there 
 
currently is no comprehensive benchmark suite of executable Python projects, which hinders the development 
 
of dynamic analyses. This work addresses this gap by presenting DyPyBench, the first benchmark of Python 
 
projects that is large-scale, diverse, ready-to-run (i.e., with fully configured and prepared test suites), and ready- 
 
to-analyze (by integrating with the DynaPyt dynamic analysis framework). The benchmark encompasses 50 
 
popular open-source projects from various application domains, with a total of 681k lines of Python code, 
 
and 30k test cases. DyPyBench enables various applications in testing and dynamic analysis, of which we 
 
explore three in this work: (i) Gathering dynamic call graphs and empirically comparing them to statically 
 
computed call graphs, which exposes and quantifies limitations of existing call graph construction techniques 
 
for Python. (ii) Using DyPyBench to build a training data set for LExecutor, a neural model that learns to 
 
predict values that otherwise would be missing at runtime. (iii) Using dynamically gathered execution traces 
 
to mine API usage specifications, which establishes a baseline for future work on specification mining for 
 
Python. We envision DyPyBench to provide a basis for other dynamic analyses and for studying the runtime 
 
behavior of Python code."
"Fuzz4All: Universal Fuzzing with Large Language Models.","2024","ICSE","Chunqiu Steven Xia, Matteo Paltenghi, Jia Le Tian, Michael Pradel, Lingming Zhang 0001","Conference and Workshop Papers","https://dblp.org/rec/conf/icse/XiaPTP024",""
"Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis, ISSTA 2024, Vienna, Austria, September 16-20, 2024","2024","ISSTA","Maria Christakis, Michael Pradel","Editorship","https://dblp.org/rec/conf/issta/2024",""
"PyTy: Repairing Static Type Errors in Python.","2024","ICSE","Yiu Wai Chow, Luca Di Grazia, Michael Pradel","Conference and Workshop Papers","https://dblp.org/rec/conf/icse/ChowGP24","Gradual typing enables developers to annotate types of their own choosing, offering a flexible middle ground between no type annotations and a fully statically typed language. As more and more code bases get type-annotated, static type checkers detect an increasingly large number of type errors. Unfortunately, fixing these errors requires manual effort, hampering the adoption of gradual typing in practice. This paper presents PyTy, an automated program repair approach targeted at statically detectable type errors in Python. The problem of repairing type errors deserves specific attention because it exposes particular repair patterns, offers a warning message with hints about where and how to apply a fix, and because gradual type checking serves as an automatic way to validate fixes. We addresses this problem through three contributions: (i) an empirical study that investigates how developers fix Python type errors, showing a diverse set of fixing strategies with some recurring patterns; (ii) an approach to automatically extract type error fixes, which enables us to create a dataset of 2,766 error-fix pairs from 176 GitHub repositories, named PyTyDefects; (iii) the first learning-based re-pair technique for fixing type errors in Python. Motivated by the relative data scarcity of the problem, the neural model at the core of PyTy is trained via cross-lingual transfer learning. Our evaluation shows that PyTy offers fixes for ten frequent categories of type errors, successfully addressing 85.4% of 281 real-world errors. This effectiveness outperforms state-of-the-art large language models asked to repair type errors (by 2.1x) and complements a previous technique aimed at type errors that manifest at runtime. Finally, 20 out of 30 pull requests with PyTy-suggested fixes have been merged by developers, showing the usefulness of PyTy in practice."
"RepairAgent: An Autonomous, LLM-Based Agent for Program Repair.","2024","CoRR","Islem Bouzenia, Premkumar T. Devanbu, Michael Pradel","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2403-17134","Automated program repair has emerged as a powerful technique to mitigate the impact of software bugs on system reliability and user experience. This paper introduces RepairAgent, the first work to address the program repair challenge through an autonomous agent based on a large language model (LLM). Unlike existing deep learning-based approaches, which prompt a model with a fixed prompt or in a fixed feedback loop, our work treats the LLM as an agent capable of autonomously planning and executing actions to fix bugs by invoking suitable tools. RepairAgent freely interleaves gathering information about the bug, gathering repair ingredients, and validating fixes, while deciding which tools to invoke based on the gathered information and feedback from previous fix attempts. Key contributions that enable RepairAgent include a set of tools that are useful for program repair, a dynamically updated prompt format that allows the LLM to interact with these tools, and a finite state machine that guides the agent in invoking the tools. Our evaluation on the popular Defects4J dataset demonstrates RepairAgent's effectiveness in autonomously repairing 164 bugs, including 39 bugs not fixed by prior techniques. Interacting with the LLM imposes an average cost of 270,000 tokens per bug, which, under the current pricing of OpenAI's GPT-3.5 model, translates to 14 cents of USD per bug. To the best of our knowledge, this work is the first to present an autonomous, LLM-based agent for program repair, paving the way for future agent-based techniques in software engineering."
