"title","year","venue","authors","type","url","abstract"
"""We Are Visual Thinkers, Not Verbal Thinkers!"": A Thematic Analysis of How Professional Designers Use Generative AI Image Generation Tools.","2024","NordiCHI","Hyerim Park, Joscha Eirich, Andre Luckow, Michael Sedlmair","Conference and Workshop Papers","https://dblp.org/rec/conf/nordichi/ParkELS24",""
"A Systematic Review of Ability-diverse Collaboration through Ability-based Lens in HCI.","2024","CHI","Lan Xiao, Maryam Bandukda, Katrin Angerbauer, Weiyue Lin, Tigmanshu Bhatnagar, Michael Sedlmair, Catherine Holloway","Conference and Workshop Papers","https://dblp.org/rec/conf/chi/XiaoBALBSH24",""
"A study on the influence of situations on personal avatar characteristics.","2024","Vis. Comput. Ind. Biomed. Art","Natalie Hube, Melissa Reinelt, Kresimir Vidackovic, Michael Sedlmair","Journal Articles","https://dblp.org/rec/journals/vciba/HubeRVS24","AbstractAvatars play a key role in how persons interact within virtual environments, acting as the digital selves. There are many types of avatars, each serving the purpose of representing users or others in these immersive spaces. However, the optimal approach for these avatars remains unclear. Although consumer applications often use cartoon-like avatars, this trend is not as common in work settings. To gain a better understanding of the kinds of avatars people prefer, three studies were conducted involving both screen-based and virtual reality setups, looking into how social settings might affect the way people choose their avatars. Personalized avatars were created for 91 participants, including 71 employees in the automotive field and 20 participants not affiliated with the company. The research shows that work-type situations influence the chosen avatar. At the same time, a correlation between the type of display medium used to display the avatar or the person’s personality and their avatar choice was not found. Based on the findings, recommendations are made for future avatar representations in work environments and implications and research questions derived that can guide future research."
"ChoreoVis: Planning and Assessing Formations in Dance Choreographies.","2024","Comput. Graph. Forum","Samuel Beck, Nina Doerr, Kuno Kurzhals, Alexander Riedlinger, Fabian Schmierer, Michael Sedlmair, Steffen Koch 0001","Journal Articles","https://dblp.org/rec/journals/cgf/BeckDKRSSK24","Sports visualization has developed into an active research field over the last decades. Many approaches focus on analyzing movement data recorded from unstructured situations, such as soccer. For the analysis of choreographed activities like formation dancing, however, the goal differs, as dancers follow specific formations in coordinated movement trajectories. To date, little work exists on how visual analytics methods can support such choreographed performances. To fill this gap, we introduce a new visual approach for planning and assessing dance choreographies. In terms of planning choreographies, we contribute a web application with interactive authoring tools and views for the dancers' positions and orientations, movement trajectories, poses, dance floor utilization, and movement distances. For assessing dancers' real‐world movement trajectories, extracted by manual bounding box annotations, we developed a timeline showing aggregated trajectory deviations and a dance floor view for detailed trajectory comparison. Our approach was developed and evaluated in collaboration with dance instructors, showing that introducing visual analytics into this domain promises improvements in training efficiency for the future."
"ClustML: A measure of cluster pattern complexity in scatterplots learnt from human-labeled groupings.","2024","Inf. Vis.","Mostafa M. Hamza, Ehsan Ullah, Abdelkader Baggag, Halima Bensmail, Michael Sedlmair, Michaël Aupetit 0001","Journal Articles","https://dblp.org/rec/journals/ivs/HamzaUBBSA24","Visual quality measures (VQMs) are designed to support analysts by automatically detecting and quantifying patterns in visualizations. We propose a new VQM for visual grouping patterns in scatterplots, called ClustML, which is trained on previously collected human subject judgments. Our model encodes scatterplots in the parametric space of a Gaussian Mixture Model and uses a classifier trained on human judgment data to estimate the perceptual complexity of grouping patterns. The numbers of initial mixture components and final combined groups quantify visual cluster patterns in scatterplots. It improves on existing VQMs, first, by better estimating human judgments on two-Gaussian cluster patterns and, second, by giving higher accuracy when ranking general cluster patterns in scatterplots. We use it to analyze kinship data for genome-wide association studies, in which experts rely on the visual analysis of large sets of scatterplots. We make the benchmark datasets and the new VQM available for practical use and further improvements."
"Configuring augmented reality users: analysing YouTube commercials to understand industry expectations.","2024","Behav. Inf. Technol.","Ann-Kathrin Wortmeier, Aimée Sousa Calepso, Cordula Kropp, Michael Sedlmair, Daniel Weiskopf","Journal Articles","https://dblp.org/rec/journals/behaviourIT/WortmeierCKSW24","ABSTRACT Commercial videos are often used to familiarise potential buyers and users with new technologies and their possibilities. In addition, presenting visions of future applications is a way to configure users and define social worlds of technology use. We analyse 30 YouTube videos featuring augmented reality (AR) devices in industrial manufacturing and construction, to explore how these commercial videos situate AR technology and future users by showcasing techno-euphoric promises and imagined use cases. With a video analysis based on Grounded Theory and Situational Analysis, we untangle the promises of AR for manufacturing and construction work; second, we present two prevailing configurations of AR users: ‘experts in situ’ and ‘smart dummies’; and third, we discuss how YouTube videos put forward developmental expectations. In addition, we identify discrepancies between expectations and foreseeable requirements in construction work. Finally, our research could contribute to a more holistic understanding of workplaces and socially robust AR applications."
"Design Patterns for Situated Visualization in Augmented Reality.","2024","IEEE Trans. Vis. Comput. Graph.","Benjamin Lee, Michael Sedlmair, Dieter Schmalstieg","Journal Articles","https://dblp.org/rec/journals/tvcg/LeeSS24",""
"Design Space of Visual Feedforward And Corrective Feedback in XR-Based Motion Guidance Systems.","2024","CHI","Xingyao Yu, Benjamin Lee, Michael Sedlmair","Conference and Workshop Papers","https://dblp.org/rec/conf/chi/YuLS24","Extended reality (XR) technologies are highly suited in assisting individuals in learning motor skills and movements—referred to as motion guidance. In motion guidance, the “feedforward’’ provides instructional cues of the motions that are to be performed, whereas the “feedback’’ provides cues which help correct mistakes and minimize errors. Designing synergistic feedforward and feedback is vital to providing an effective learning experience, but this interplay between the two has not yet been adequately explored. Based on a survey of the literature, we propose design space for both motion feedforward and corrective feedback in XR, and describe the interaction effects between them. We identify common design approaches of XR-based motion guidance found in our literature corpus, and discuss them through the lens of our design dimensions. We then discuss additional contextual factors and considerations that influence this design, together with future research opportunities for motion guidance in XR."
"HiveFive360: Extending the VR Gaze Guidance Technique HiveFive to Highlight Out-Of-FOV Targets.","2024","MuC","Sophie Kergaßner, Nina Doerr, Markus Wieland, Martin Fuchs 0001, Michael Sedlmair","Conference and Workshop Papers","https://dblp.org/rec/conf/mc/KergassnerDW0S24",""
"Is it Part of Me? Exploring Experiences of Inclusive Avatar Use For Visible and Invisible Disabilities in Social VR.","2024","ASSETS","Katrin Angerbauer, Phoenix Van Wagoner, Tim Halach, Jonas Vogelsang, Natalie Hube, Andria L. Smith, Ksenia Keplinger, Michael Sedlmair","Conference and Workshop Papers","https://dblp.org/rec/conf/assets/AngerbauerWHVHS24",""
