"title","year","venue","authors","type","url","abstract"
"A computational approach to visual ecology with deep reinforcement learning.","2024","CoRR","Sacha Sokoloski, Jure Majnik, Philipp Berens","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2402-05266",""
"Benchmarking Dependence Measures to Prevent Shortcut Learning in Medical Imaging.","2024","CoRR","Sarah Müller, Louisa Fay, Lisa M. Koch, Sergios Gatidis, Thomas Küstner, Philipp Berens","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2407-18792","Medical imaging cohorts are often confounded by factors such as acquisition devices, hospital sites, patient backgrounds, and many more. As a result, deep learning models tend to learn spurious correlations instead of causally related features, limiting their generalizability to new and unseen data. This problem can be addressed by minimizing dependence measures between intermediate representations of task-related and non-task-related variables. These measures include mutual information, distance correlation, and the performance of adversarial classifiers. Here, we benchmark such dependence measures for the task of preventing shortcut learning. We study a simplified setting using Morpho-MNIST and a medical imaging task with CheXpert chest radiographs. Our results provide insights into how to mitigate confounding factors in medical imaging."
"Benchmarking Retinal Blood Vessel Segmentation Models for Cross-Dataset and Cross-Disease Generalization.","2024","CoRR","Jeremiah Fadugba, Patrick Köhler, Lisa M. Koch, Petru Manescu, Philipp Berens","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2406-14994","Retinal blood vessel segmentation can extract clinically relevant information from fundus images. As manual tracing is cumbersome, algorithms based on Convolution Neural Networks have been developed. Such studies have used small publicly available datasets for training and measuring performance, running the risk of overfitting. Here, we provide a rigorous benchmark for various architectural and training choices commonly used in the literature on the largest dataset published to date. We train and evaluate five published models on the publicly available FIVES fundus image dataset, which exceeds previous ones in size and quality and which contains also images from common ophthalmological conditions (diabetic retinopathy, age-related macular degeneration, glaucoma). We compare the performance of different model architectures across different loss functions, levels of image qualitiy and ophthalmological conditions and assess their ability to perform well in the face of disease-induced domain shifts. Given sufficient training data, basic architectures such as U-Net perform just as well as more advanced ones, and transfer across disease-induced domain shifts typically works well for most architectures. However, we find that image quality is a key factor determining segmentation outcomes. When optimizing for segmentation performance, investing into a well curated dataset to train a standard architecture yields better results than tuning a sophisticated architecture on a smaller dataset or one with lower image quality. We distilled the utility of architectural advances in terms of their clinical relevance therefore providing practical guidance for model choices depending on the circumstances of the clinical setting"
"Diffusion Tempering Improves Parameter Estimation with Probabilistic Integrators for Ordinary Differential Equations.","2024","ICML","Jonas Beck, Nathanael Bosch, Michael Deistler, Kyra L. Kadhim, Jakob H. Macke, Philipp Hennig, Philipp Berens","Conference and Workshop Papers","https://dblp.org/rec/conf/icml/BeckBDKMHB24","Ordinary differential equations (ODEs) are widely used to describe dynamical systems in science, but identifying parameters that explain experimental measurements is challenging. In particular, although ODEs are differentiable and would allow for gradient-based parameter optimization, the nonlinear dynamics of ODEs often lead to many local minima and extreme sensitivity to initial conditions. We therefore propose diffusion tempering, a novel regularization technique for probabilistic numerical methods which improves convergence of gradient-based parameter optimization in ODEs. By iteratively reducing a noise parameter of the probabilistic integrator, the proposed method converges more reliably to the true parameters. We demonstrate that our method is effective for dynamical systems of different complexity and show that it obtains reliable parameter estimates for a Hodgkin-Huxley model with a practically relevant number of parameters."
"Disentangling representations of retinal images with generative models.","2024","CoRR","Sarah Müller, Lisa M. Koch, Hendrik P. A. Lensch, Philipp Berens","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2402-19186","Retinal fundus images play a crucial role in the early detection of eye diseases. However, the impact of technical factors on these images can pose challenges for reliable AI applications in ophthalmology. For example, large fundus cohorts are often confounded by factors like camera type, bearing the risk of learning shortcuts rather than the causal relationships behind the image generation process. Here, we introduce a population model for retinal fundus images that effectively disentangles patient attributes from camera effects, enabling controllable and highly realistic image generation. To achieve this, we propose a disentanglement loss based on distance correlation. Through qualitative and quantitative analyses, we show that our models encode desired information in disentangled subspaces and enable controllable image generation based on the learned subspaces, demonstrating the effectiveness of our disentanglement loss. The project's code is publicly available: https://github.com/berenslab/disentangling-retinal-images."
"Distribution shift detection for the postmarket surveillance of medical AI algorithms: a retrospective simulation study.","2024","npj Digit. Medicine","Lisa M. Koch, Christian F. Baumgartner, Philipp Berens","Journal Articles","https://dblp.org/rec/journals/npjdm/KochBB24","AbstractDistribution shifts remain a problem for the safe application of regulated medical AI systems, and may impact their real-world performance if undetected. Postmarket shifts can occur for example if algorithms developed on data from various acquisition settings and a heterogeneous population are predominantly applied in hospitals with lower quality data acquisition or other centre-specific acquisition factors, or where some ethnicities are over-represented. Therefore, distribution shift detection could be important for monitoring AI-based medical products during postmarket surveillance. We implemented and evaluated three deep-learning based shift detection techniques (classifier-based, deep kernel, and multiple univariate kolmogorov-smirnov tests) on simulated shifts in a dataset of 130’486 retinal images. We trained a deep learning classifier for diabetic retinopathy grading. We then simulated population shifts by changing the prevalence of patients’ sex, ethnicity, and co-morbidities, and example acquisition shifts by changes in image quality. We observed classification subgroup performance disparities w.r.t. image quality, patient sex, ethnicity and co-morbidity presence. The sensitivity at detecting referable diabetic retinopathy ranged from 0.50 to 0.79 for different ethnicities. This motivates the need for detecting shifts after deployment. Classifier-based tests performed best overall, with perfect detection rates for quality and co-morbidity subgroup shifts at a sample size of 1000. It was the only method to detect shifts in patient sex, but required large sample sizes ($$&gt; 30^{\prime} 000$$
                  
                    &gt;
                    3
                    
                      
                        0
                      
                      
                        ′
                      
                    
                    000
                  
                ). All methods identified easier-to-detect out-of-distribution shifts with small (≤300) sample sizes. We conclude that effective tools exist for detecting clinically relevant distribution shifts. In particular classifier-based tests can be easily implemented components in the post-market surveillance strategy of medical device manufacturers."
"Estimating Causal Effects with Double Machine Learning - A Method Evaluation.","2024","CoRR","Jonathan Fuhr, Philipp Berens, Dominik Papies","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2403-14385","The estimation of causal effects with observational data continues to be a very active research area. In recent years, researchers have developed new frameworks which use machine learning to relax classical assumptions necessary for the estimation of causal effects. In this paper, we review one of the most prominent methods -""double/debiased machine learning""(DML) - and empirically evaluate it by comparing its performance on simulated data relative to more traditional statistical methods, before applying it to real-world data. Our findings indicate that the application of a suitably flexible machine learning algorithm within DML improves the adjustment for various nonlinear confounding relationships. This advantage enables a departure from traditional functional form assumptions typically necessary in causal effect estimation. However, we demonstrate that the method continues to critically depend on standard assumptions about causal structure and identification. When estimating the effects of air pollution on housing prices in our application, we find that DML estimates are consistently larger than estimates of less flexible methods. From our overall results, we provide actionable recommendations for specific choices researchers must make when applying DML in practice."
"Interpretable-by-Design Deep Survival Analysis for Disease Progression Modeling.","2024","MICCAI","Julius Gervelmeyer, Sarah Müller, Kerol Djoumessi, David Merle, Simon J. Clark, Lisa M. Koch, Philipp Berens","Conference and Workshop Papers","https://dblp.org/rec/conf/miccai/GervelmeyerMDMCKB24","In the elderly, degenerative diseases often develop differently over time for individual patients. For optimal treatment, physicians and patients would like to know how much time is left for them until symptoms reach a certain stage. However, compared to simple disease detection tasks, disease progression modeling has received much less attention. In addition, most existing models are black-box models which provide little insight into the mechanisms driving the prediction. Here, we introduce an interpretable-by-design survival model to predict the progression of age-related macular degeneration (AMD) from fundus images. Our model not only achieves state-of-the-art prediction performance compared to black-box models but also provides a sparse map of local evidence of AMD progression for individual patients. Our evidence map faithfully reflects the decision-making process of the model in contrast to widely used post-hoc saliency methods. Furthermore, we show that the identified regions mostly align with established clinical AMD progression markers. We believe that our method may help to inform treatment decisions and may lead to better insights into imaging biomarkers indicative of disease progression. The project's code is available at github.com/berenslab/interpretable-deep-survival-analysis."
"Linked Care: A Harmonized Workflow for Medication Ordering, Prescription and Dispensing in Mobile Care Settings.","2024","MIE","Philipp Urbauer, Gerda Huber, Timothy Berens, Benedikt Salzbrunn, Matthias Frohner, Stefan Sauermann","Conference and Workshop Papers","https://dblp.org/rec/conf/mie/UrbauerHBSFS24","The growing demand for care amid changing demographics poses significant challenges exacerbated by decreasing healthcare professional availability. In Austria, the Linked Care project aims to address these challenges by developing an intersectoral, harmonized IT-supported workflow for medication ordering, prescription, and dispense in mobile care settings. A human centered design approach, with user-focused interviews and workshops was used to identify requirements and analyze the workflows. Activity diagrams were used represent workflows. The resulting harmonized workflow, developed through iterative collaboration with care organizations, integrates the LC platform into existing care software. To test and demonstrate the harmonized workflow, mockups were created and evaluated for usability, resulting in positive feedback and suggestions for enhancements. Current workflows revealed media breaches and inefficiencies, which the proposed harmonized workflow seeks to address. The paper concludes with implications for future developments, including the subsequent adoption of a HL7 FHIR Implementation Guide for Austria, based on the defined harmonized workflow, to streamline intersectoral communication and improve efficiency in mobile care settings."
"Meet the authors: Rita González-Márquez, Philipp Berens, and Dmitry Kobak.","2024","Patterns","Rita González-Márquez, Philipp Berens, Dmitry Kobak","Journal Articles","https://dblp.org/rec/journals/patterns/GonzalezMarquezBK24",""
