"title","year","venue","authors","type","url","abstract"
"A Greedy Approximation for k-Determinantal Point Processes.","2024","AISTATS","Julia Grosse, Rahel Fischer, Roman Garnett, Philipp Hennig","Conference and Workshop Papers","https://dblp.org/rec/conf/aistats/GrosseFGH24","Determinantal point processes (DPPs) are an important concept in random matrix theory and combinatorics, and increasingly in machine learning. Samples from these processes exhibit a form of self-avoidance, so they are also helpful in guiding algorithms that explore to reduce uncertainty, such as in active learning, Bayesian optimization, reinforcement learning, and marginalization in graphical models. The best-known algorithms for sampling from DPPs exactly require significant computational expense, which can be unwelcome in machine learning applications when the cost of sampling is relatively low and capturing the precise repulsive nature of the DPP may not be critical. We suggest an inexpensive approximate strategy for sampling a fixed number of points (as would typically be desired in a machine learning setting) from a so-called k -DPP based on iterative inverse transform sampling. We prove that our algorithm satisfies a (1 − 1 /e ) approximation guarantee relative to exact sampling from the k -DPP, and provide an efficient implementation for many common kernels used in machine learning, including the Gaussian and Mat´ern class. Finally, we compare the empirical runtime of our method to exact and Markov-Chain-Monte-Carlo (MCMC) sam-plers and investigate the approximation quality in a Bayesian Quadrature (BQ) setting."
"A switching lung mechanics model for detection of expiratory flow limitation.","2024","Autom.","Carlotta Hennigs, Franziska Bilda, Jan Graßhoff, Stephan Walterspacher, Philipp Rostalski","Journal Articles","https://dblp.org/rec/journals/at/HennigsBGWR24","Abstract Expiratory flow limitation (EFL) is an often unrecognized clinical condition with a multitude of negative implications. A mathematical EFL model is proposed to detect flow limitations automatically. The EFL model is a switching one-compartment lung mechanics model with a volume-dependent airway resistance to simulate the dynamic behavior during expiration. The EFL detection is based on a breath-by-breath model parameter identification and validated on clinical data of mechanically ventilated patients. In the severe flow limitation group 93.9 % ± 5 % and in the no limitation group 10.2 % ± 13.7 % of the breaths are detected as EFL. Based on the high detection rate of EFL, these results support the usefulness of the EFL detection. It is a first step toward an automated detection of EFL in clinical applications and may help to reduce underdiagnosis of EFL."
"Computation-Aware Kalman Filtering and Smoothing.","2024","CoRR","Marvin Pförtner, Jonathan Wenger, Jon Cockayne, Philipp Hennig","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2405-08971",""
"Diffusion Tempering Improves Parameter Estimation with Probabilistic Integrators for Ordinary Differential Equations.","2024","ICML","Jonas Beck, Nathanael Bosch, Michael Deistler, Kyra L. Kadhim, Jakob H. Macke, Philipp Hennig, Philipp Berens","Conference and Workshop Papers","https://dblp.org/rec/conf/icml/BeckBDKMHB24",""
"FSP-Laplace: Function-Space Priors for the Laplace Approximation in Bayesian Deep Learning.","2024","CoRR","Tristan Cinquin, Marvin Pförtner, Vincent Fortuin, Philipp Hennig, Robert Bamler","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2407-13711",""
"Flexible inference in heterogeneous and attributed multilayer networks.","2024","CoRR","Martina Contisciani, Marius Hobbhahn, Eleanor A. Power, Philipp Hennig, Caterina De Bacco","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2405-20918","Networked datasets are often enriched by different types of information about individual nodes or edges. However, most existing methods for analyzing such datasets struggle to handle the complexity of heterogeneous data, often requiring substantial model-specific analysis. In this paper, we develop a probabilistic generative model to perform inference in multilayer networks with arbitrary types of information. Our approach employs a Bayesian framework combined with the Laplace matching technique to ease interpretation of inferred parameters. Furthermore, the algorithmic implementation relies on automatic differentiation, avoiding the need for explicit derivations. This makes our model scalable and flexible to adapt to any combination of input data. We demonstrate the effectiveness of our method in detecting overlapping community structures and performing various prediction tasks on heterogeneous multilayer data, where nodes and edges have different types of attributes. Additionally, we showcase its ability to unveil a variety of patterns in a social support network among villagers in rural India by effectively utilizing all input information in a meaningful way."
"Linearization Turns Neural Operators into Function-Valued Gaussian Processes.","2024","CoRR","Emilia Magnani, Marvin Pförtner, Tobias Weber, Philipp Hennig","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2406-05072","Modeling dynamical systems, e.g. in climate and engineering sciences, often necessitates solving partial differential equations. Neural operators are deep neural networks designed to learn nontrivial solution operators of such differential equations from data. As for all statistical models, the predictions of these models are imperfect and exhibit errors. Such errors are particularly difficult to spot in the complex nonlinear behaviour of dynamical systems. We introduce a new framework for approximate Bayesian uncertainty quantification in neural operators using function-valued Gaussian processes. Our approach can be interpreted as a probabilistic analogue of the concept of currying from functional programming and provides a practical yet theoretically sound way to apply the linearized Laplace approximation to neural operators. In a case study on Fourier neural operators, we show that, even for a discretized input, our method yields a Gaussian closure--a structured Gaussian process posterior capturing the uncertainty in the output function of the neural operator, which can be evaluated at an arbitrary set of points. The method adds minimal prediction overhead, can be applied post-hoc without retraining the neural operator, and scales to large models and datasets. We showcase the efficacy of our approach through applications to different types of partial differential equations."
"Parallel-in-Time Probabilistic Numerical ODE Solvers.","2024","J. Mach. Learn. Res.","Nathanael Bosch, Adrien Corenflos, Fatemeh Yaghoobi, Filip Tronarp, Philipp Hennig, Simo Särkkä","Journal Articles","https://dblp.org/rec/journals/jmlr/BoschCYTHS24","Probabilistic numerical solvers for ordinary differential equations (ODEs) treat the numerical simulation of dynamical systems as problems of Bayesian state estimation. Aside from producing posterior distributions over ODE solutions and thereby quantifying the numerical approximation error of the method itself, one less-often noted advantage of this formalism is the algorithmic flexibility gained by formulating numerical simulation in the framework of Bayesian filtering and smoothing. In this paper, we leverage this flexibility and build on the time-parallel formulation of iterated extended Kalman smoothers to formulate a parallel-in-time probabilistic numerical ODE solver. Instead of simulating the dynamical system sequentially in time, as done by current probabilistic solvers, the proposed method processes all time steps in parallel and thereby reduces the span cost from linear to logarithmic in the number of time steps. We demonstrate the effectiveness of our approach on a variety of ODEs and compare it to a range of both classic and probabilistic numerical ODE solvers."
"Position Paper: Bayesian Deep Learning in the Age of Large-Scale AI.","2024","CoRR","Theodore Papamarkou, Maria Skoularidou, Konstantina Palla, Laurence Aitchison, Julyan Arbel, David B. Dunson, Maurizio Filippone, Vincent Fortuin, Philipp Hennig, José Miguel Hernández-Lobato, Aliaksandr Hubin, Alexander Immer, Theofanis Karaletsos, Mohammad Emtiyaz Khan, Agustinus Kristiadi, Yingzhen Li, Stephan Mandt, Christopher Nemeth, Michael A. Osborne, Tim G. J. Rudner, David Rügamer, Yee Whye Teh, Max Welling, Andrew Gordon Wilson, Ruqi Zhang","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2402-00809","Abstract
        In this work, minibatch MCMC sampling
for feedforward neural networks is made more feasible.
To this end,
it is proposed to sample subgroups of parameters
via a blocked Gibbs sampling scheme.
By partitioning the parameter space,
sampling is possible irrespective of layer width.
It is also possible to alleviate vanishing acceptance rates
for increasing depth
by reducing the proposal variance in deeper layers.
Increasing the length of a non-convergent chain
increases the predictive accuracy in classification tasks,
so avoiding vanishing acceptance rates and
consequently enabling longer chain runs
have practical benefits.
Moreover, non-convergent chain realizations
aid in the quantification of predictive uncertainty.
An open problem is how to perform minibatch MCMC sampling
for feedforward neural networks
in the presence of augmented data."
"Position: Bayesian Deep Learning is Needed in the Age of Large-Scale AI.","2024","ICML","Theodore Papamarkou, Maria Skoularidou, Konstantina Palla, Laurence Aitchison, Julyan Arbel, David B. Dunson, Maurizio Filippone, Vincent Fortuin, Philipp Hennig, José Miguel Hernández-Lobato, Aliaksandr Hubin, Alexander Immer, Theofanis Karaletsos, Mohammad Emtiyaz Khan, Agustinus Kristiadi, Yingzhen Li, Stephan Mandt, Christopher Nemeth, Michael A. Osborne, Tim G. J. Rudner, David Rügamer, Yee Whye Teh, Max Welling, Andrew Gordon Wilson, Ruqi Zhang","Conference and Workshop Papers","https://dblp.org/rec/conf/icml/PapamarkouSPAAD24","In the current landscape of deep learning research, there is a predominant emphasis on achieving high predictive accuracy in supervised tasks involving large image and language datasets. However, a broader perspective reveals a multitude of overlooked metrics, tasks, and data types, such as uncertainty, active and continual learning, and scientific data, that demand attention. Bayesian deep learning (BDL) constitutes a promising avenue, offering advantages across these diverse settings. This paper posits that BDL can elevate the capabilities of deep learning. It revisits the strengths of BDL, acknowledges existing challenges, and highlights some exciting research avenues aimed at addressing these obstacles. Looking ahead, the discussion focuses on possible ways to combine large-scale foundation models with BDL to unlock their full potential."
"Probabilistic ODE solvers for integration error-aware numerical optimal control.","2024","L4DC","Amon Lahr, Filip Tronarp, Nathanael Bosch, Jonathan Schmidt, Philipp Hennig, Melanie N. Zeilinger","Conference and Workshop Papers","https://dblp.org/rec/conf/l4dc/LahrTBSHZ24",""
