"title","year","venue","authors","type","url","abstract"
"15.4 Self-Enabled Write-Assist Cells for High-Density SRAM in a Resistance-Dominated Technology Node.","2024","ISSCC","Minjune Yeo, Keonhee Cho, Giseok Kim, Won Joon Jo, Jisang Oh, Sekeon Kim, Kyeongrim Baek, Sungho Park, Seung Jae Yei, Seong-Ook Jung","Conference and Workshop Papers","https://dblp.org/rec/conf/isscc/YeoCKJOKBPYJ24","For applications where a significant amount of data is processed within a limited area, such as mobile and graphics applications, the demand for higher-density SRAM becomes more evident [1]. As shown in Fig. 15.4.1 (top left), SRAM cell area is progressively decreasing with technology scaling to achieve high-density [2]. However, in sub-5nm technology nodes, shown in Fig. 15.4.1 (top right), the reduction of the interconnect cross-sectional area and decreased electron mobility, due to grain boundary scattering and surface scattering, leads to an exponential increase in interconnect resistance. Despite scaling-driven BL length reduction an exponential increase in interconnect resistance results in an increase in the BL resistance per cell $(\mathrm{R}_{\mathrm{BL} \_ \text {cell }})$, resulting in writability degradation. Figure 15.4.1 (bottom) shows the $\mathrm{R}_{\mathrm{BL} \_ \text {cell }}$ and BL capacitance per cell $(\mathrm{C}_{\mathrm{BL} \_ \text {cell }})$ for recent work using sub-5nm technology nodes. As shown in Fig. 15.4.2, the voltage of BL (or BLB) connected to the selected cell $(\mathrm{V}_{\mathrm{BL} \_ \text {cell }})$ is determined by the voltage dividing characteristic from the cell supply voltage $(\mathrm{V}_{DD_{-}C})$, in the selected cell, to the ground voltage (VSS), in write driver (WD), during a write operation. As RBL becomes larger, so does $\mathrm{V}_{\mathrm{BL} \_ \text {cell }}$. An increased $\mathrm{V}_{\mathrm{BL} \_ \text {cell }}$ reduces the write current through the pass-gate transistor (PG), resulting in write failures."
"A 3.5 to 4.7-GHz Fractional-N ADPLL With a Low-Power Time-Interleaved GRO-TDC of 6.2-ps Resolution in 65-nm CMOS Process.","2024","IEEE Access","Kyoung-Ub Cho, Joonho Gil, Chulhyun Park, Kyu-Jin Cho, Jaewoo Shin, Eun Seong Kim, Yun Seong Eo, Ramesh Harjani, Nam-Young Kim, Taehyoun Oh","Journal Articles","https://dblp.org/rec/journals/access/ChoGPCSKEHKO24","This paper proposes a low-power design method and a low-noise phase offset calibration technique for a gated ring-oscillator time-to-digital converter (GRO-TDC), which normally consumes a large percentage of most all-digital phase-locked loop (ADPLL) power. A single coarse counter logic structure along with time-interleaved even/odd paths significantly reduces the complexity and speed of the TDC logic. The proposed TDC consumes only 0.44 to 24 mW for 0.077 to 24.42 ns of detection range. The multi-path GRO accelerates the oscillation speed and achieves approximately 6.2 ps of time resolution. The GRO-TDC shows –1.43 to 1.35 least-significant bits (LSB) of differential non-linearity (DNL) and –1.32 to 1.96 LSB of integral non-linearity (INL) over a 11-bit dynamic range (DR). The entire ADPLL including the proposed TDC has been fabricated in a 65 nm CMOS process and occupies 0.67 mm2 of active area. The prototype ADPLL consumes 12.22 mW from 1.2 V supply and the TDC consumes only 0.65 mW for a 50-phase offset code. A modified integrating structure in the subsequent digital loop filter (DLF) has been developed to mitigate dithering noise on $V_{ctrl}$ code and the measured reference spur is –69.38 dBc at 3.6 GHz center frequency. The tuning range of the implemented ADPLL is 3.5 to 4.7 GHz by using 2-bit band switching and 5-bit coarse control, while maintaining low- $K_{DCO}$ values to suppress in-band quantization noise. The measured root-mean-square (RMS) jitter is 0.94 ps and 0.99 ps at 3.6 GHz integer-mode and 3.60743 GHz fractional-mode respectively."
"Benchmarking Uncertainty Disentanglement: Specialized Uncertainties for Specialized Tasks.","2024","CoRR","Bálint Mucsányi, Michael Kirchhof, Seong Joon Oh","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2402-19460",""
"Calibrating Large Language Models Using Their Generations Only.","2024","ACL","Dennis Ulmer, Martin Gubri, Hwaran Lee, Sangdoo Yun, Seong Joon Oh","Conference and Workshop Papers","https://dblp.org/rec/conf/acl/UlmerGLYO24","As large language models (LLMs) are increasingly deployed in user-facing applications, building trust and maintaining safety by accurately quantifying a model's confidence in its prediction becomes even more important. However, finding effective ways to calibrate LLMs - especially when the only interface to the models is their generated text - remains a challenge. We propose APRICOT (auxiliary prediction of confidence targets): A method to set confidence targets and train an additional model that predicts an LLM's confidence based on its textual input and output alone. This approach has several advantages: It is conceptually simple, does not require access to the target model beyond its output, does not interfere with the language generation, and has a multitude of potential usages, for instance by verbalizing the predicted confidence or adjusting the given answer based on the confidence. We show how our approach performs competitively in terms of calibration error for white-box and black-box LLMs on closed-book question-answering to detect incorrect LLM answers."
"HyperCLOVA X Technical Report.","2024","CoRR","Kang Min Yoo, Jaegeun Han, Sookyo In, Heewon Jeon, Jisu Jeong, Jaewook Kang, Hyunwook Kim, Kyung-Min Kim, Munhyong Kim, Sungju Kim, Donghyun Kwak, Hanock Kwak, Se Jung Kwon, Bado Lee, Dongsoo Lee, Gichang Lee, Jooho Lee, Baeseong Park, Seongjin Shin, Joonsang Yu, Seolki Baek, Sumin Byeon, Eungsup Cho, Dooseok Choe, Jeeseung Han, Youngkyun Jin, Hyein Jun, Jaeseung Jung, Chanwoong Kim, Jinhong Kim, Jinuk Kim, Dokyeong Lee, Dong Wook Park, Jeong Min Sohn, Sujung Han, Jiae Heo, Sungju Hong, Mina Jeon, Hyunhoon Jung, Jungeun Jung, Wangkyo Jung, Chungjoon Kim, Hyeri Kim, Jonghyun Kim, Min Young Kim, Soeun Lee, Joonhee Park, Jieun Shin, Sojin Yang, Jungsoon Yoon, Hwaran Lee, Sanghwan Bae, Jeehwan Cha, Karl Gylleus, Donghoon Ham, Mihak Hong, Youngki Hong, Yunki Hong, Dahyun Jang, Hyojun Jeon, Yujin Jeon, Yeji Jeong, Myunggeun Ji, Yeguk Jin, Chansong Jo, Shinyoung Joo, Seunghwan Jung, Adrian Jungmyung Kim, Byoung Hoon Kim, Hyomin Kim, Jungwhan Kim, Minkyoung Kim, Minseung Kim, Sungdong Kim, Yonghee Kim, Youngjun Kim, Youngkwan Kim, Donghyeon Ko, Dughyun Lee, Hayoung Lee, Jaehong Lee, Jieun Lee, Jonghyun Lee, Jongjin Lee, Min Young Lee, Yehbin Lee, Taehong Min, Yuri Min, Kiyoon Moon, Hyangnam Oh, Jaesun Park, Kyuyon Park, Younghun Park, Hanbae Seo, Seunghyun Seo, Mihyun Sim, Gyubin Son, Matt Yeo, Kyung Hoon Yeom, Wonjoon Yoo","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2404-01954","We introduce HyperCLOVA X, a family of large language models (LLMs) tailored to the Korean language and culture, along with competitive capabilities in English, math, and coding. HyperCLOVA X was trained on a balanced mix of Korean, English, and code data, followed by instruction-tuning with high-quality human-annotated datasets while abiding by strict safety guidelines reflecting our commitment to responsible AI. The model is evaluated across various benchmarks, including comprehensive reasoning, knowledge, commonsense, factuality, coding, math, chatting, instruction-following, and harmlessness, in both Korean and English. HyperCLOVA X exhibits strong reasoning capabilities in Korean backed by a deep understanding of the language and cultural nuances. Further analysis of the inherent bilingual nature and its extension to multilingualism highlights the model's cross-lingual proficiency and strong generalization ability to untargeted languages, including machine translation between several language pairs and cross-lingual inference tasks. We believe that HyperCLOVA X can provide helpful guidance for regions or countries in developing their sovereign LLMs."
"INSTRUCTIR: A Benchmark for Instruction Following of Information Retrieval Models.","2024","CoRR","Hanseok Oh, Hyunji Lee, Seonghyeon Ye, Haebin Shin, Hansol Jang, Changwook Jun, Minjoon Seo","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2402-14334",""
"LR-FHSS Transceiver for Direct-to-Satellite IoT Communications: Design, Implementation, and Verification.","2024","CoRR","Sooyeob Jung, Seongah Jeong, Jinkyu Kang, Gyeongrae Im, Sangjae Lee, Mi-Kyung Oh, Joon-Gyu Ryu, Joonhyuk Kang","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2403-14154",""
"Pretrained Visual Uncertainties.","2024","CoRR","Michael Kirchhof, Mark Collier, Seong Joon Oh, Enkelejda Kasneci","Informal and Other Publications","https://dblp.org/rec/journals/corr/abs-2402-16569","Accurate uncertainty estimation is vital to trustworthy machine learning, yet uncertainties typically have to be learned for each task anew. This work introduces the first pretrained uncertainty modules for vision models. Similar to standard pretraining this enables the zero-shot transfer of uncertainties learned on a large pretraining dataset to specialized downstream datasets. We enable our large-scale pretraining on ImageNet-21k by solving a gradient conflict in previous uncertainty modules and accelerating the training by up to 180x. We find that the pretrained uncertainties generalize to unseen datasets. In scrutinizing the learned uncertainties, we find that they capture aleatoric uncertainty, disentangled from epistemic components. We demonstrate that this enables safe retrieval and uncertainty-aware dataset visualization. To encourage applications to further problems and domains, we release all pretrained checkpoints and code under https://github.com/mkirchhof/url ."
"SNNSim: Investigation and Optimization of Large-Scale Analog Spiking Neural Networks Based on Flash Memory Devices.","2024","Adv. Intell. Syst.","JongHyun Ko, Dongseok Kwon, Joon Hwang, Kyu-Ho Lee, Seongbin Oh, Jeonghyun Kim, Jiseong Im, Ryun-Han Koo, Jae-Joon Kim, Jong-Ho Lee 0002","Journal Articles","https://dblp.org/rec/journals/aisy/KoKHLOKIKKL24","Spiking neural networks (SNNs) have emerged as a novel approach for reducing computational costs by mimicking the biologically plausible operations of neurons and synapses. In this article, large‐scale analog SNNs are investigated and optimized at the hardware‐level by using SNNSim, the novel simulator for SNNs that employ analog synaptic devices and integrate‐and‐fire (I&F) neuron circuits. SNNSim is a reconfigurable simulator that accurately and very quickly models the behavior of the user‐defined device characteristics and returns key metrics such as area, accuracy, latency, and power consumption as output. Notably, SNNSim exhibits exceptional efficiency, as it can process the entire 10 000 Modified National Institute of Standards and Technology (MNIST) test dataset in a few seconds, whereas SPICE simulations require hours to simulate a single MNIST test data. Using SNNSim, the conversion of artificial neural networks (ANNs) to SNNs is simulated and the performance of the large‐scale analog SNNs is optimized. The results enable the design of accurate, high‐speed, and low‐power operation of large‐scale SNNs. SNNSim code is now available at https://github.com/SMDLGITHUB/SNNSim."
"TRAP: Targeted Random Adversarial Prompt Honeypot for Black-Box Identification.","2024","ACL","Martin Gubri, Dennis Ulmer, Hwaran Lee, Sangdoo Yun, Seong Joon Oh","Conference and Workshop Papers","https://dblp.org/rec/conf/acl/GubriULYO24","Large Language Model (LLM) services and models often come with legal rules on who can use them and how they must use them. Assessing the compliance of the released LLMs is crucial, as these rules protect the interests of the LLM contributor and prevent misuse. In this context, we describe the novel fingerprinting problem of Black-box Identity Verification (BBIV). The goal is to determine whether a third-party application uses a certain LLM through its chat function. We propose a method called Targeted Random Adversarial Prompt (TRAP) that identifies the specific LLM in use. We repurpose adversarial suffixes, originally proposed for jailbreaking, to get a pre-defined answer from the target LLM, while other models give random answers. TRAP detects the target LLMs with over 95% true positive rate at under 0.2% false positive rate even after a single interaction. TRAP remains effective even if the LLM has minor changes that do not significantly alter the original function."
