Name,Field,Webpage
Amirreza Aghakhani,Microrobotics and Biomedical Ultrasound,https://www.ifr.uni-stuttgart.de/en/Forschung/Flugrobotik/
Aamir Ahmad,Aerial Robotics & Multi-Robot Systems,https://www.ist.uni-stuttgart.de/de/institut/team/
Frank Allgöwer,Control Systems Executive Board,https://www.f05.uni-stuttgart.de/fakultaet/personen/Arras-00001/
Kai Arras,Robotics,https://uni-tuebingen.de/en/faculties/faculty-of-humanities/departments/modern-languages/department-of-linguistics/chairs/quantitative-linguistics/
R. Harald Baayen,Statistical Data Analysis & Computational Modeling,https://robamler.github.io/
Robert Bamler,Scalable Bayesian Inference,http://www.baumdickergroup.de/
Franz Baumdicker,Mathematical & Computational Population Genetics,https://philippberens.wordpress.com/
Philipp Berens,Computational Neuroscience & Medical Data Science,https://bethgelab.org/
Matthias Bethge,Computational Neuroscience & Machine Learning,https://ps.is.mpg.de/person/black
Michael J. Black,Computer Vision,https://robustml.is.mpg.de/
Wieland Brendel,Machine Learning,https://www.vis.uni-stuttgart.de/en/research_group/computer_vision/
Andrés Bruhn,Computer Vision,https://www.perceptualui.org/people/bulling/
Andreas Bulling,Intelligent User Interfaces & Computer Vision Executive Board,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/cognitive-modeling/staff/martin-butz/
Martin Butz,Cognitive Systems,https://luizchamon.com/
Luiz Chamon,Optimization & Machine Learning,https://claassenlab.github.io/
Manfred Claassen,Machine Learning Translational Single-Cell Biology,https://www.mpg.de/12309370/biologische-kybernetik-dayan-peter
Peter Dayan,Computational Neuroscience,https://uni-tuebingen.de/en/research/core-research/cluster-of-excellence-machine-learning/research/research/cluster-research-groups/research-groups/automl-for-science/
Katharina Eggensperger,Machine Learning,https://www.simtech.uni-stuttgart.de/exc/people/Ehinger-00003/
Benedikt Ehinger,Computational Cognitive Science,https://health-nlp.com/
Carsten Eickhoff,Natural Language Processing & Information Retrieval,https://is.mpg.de/~fiene
Jonathan Fiene,Mechatronics & Robotics,https://www.cvlibs.net/
Andreas Geiger,Computer Vision,https://jonasgeiping.github.io/
Jonas Geiping,Machine Learning Safety & Efficiency,https://uni-tuebingen.de/en/research/core-research/cluster-of-excellence-machine-learning/research/research/cluster-research-groups/research-groups/epistemology-and-ethics-of-ml/
Konstantin Genin,Philosophy of Science,http://www.compsens.uni-tuebingen.de/compsens/index.php
Martin A. Giese,Neural & Computational Models,https://mrtz.org/
Moritz Hardt,Machine Learning Executive Board,https://bmm.is.mpg.de/
Florian Hartmann,Functional Materials & Soft Robotics,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/maschinelles-lernen/team/prof-dr-matthias-hein/
Matthias Hein,Machine Learning,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/methoden-des-maschinellen-lernens/personen/philipp-hennig/
Philipp Hennig,Machine Learning,https://www.icp.uni-stuttgart.de/
Christian Holm,Computational Soft & Biological Matter,https://www.hih-tuebingen.de/en/research/independent-research-groups/mocom/
Daniel Häufle,Motor Control & Rehabilitation Robotics,https://www.ist.uni-stuttgart.de/institute/team/Iannelli/
Andrea Iannelli,Data-Driven Control Theory,https://rm.is.mpg.de/
Christoph Keplinger,Materials & Soft Robotics Executive Board,https://ld.is.mpg.de/
Ksenia Keplinger,Social Learning & Organizational Behavior,https://www.simtech.uni-stuttgart.de/exc/people/Klopotek/
Miriam Klopotek,"Machine Learning, Classical Many-Body & Nonequilibrium Physics",https://hi.is.mpg.de/~kjk
Katherine Kuchenbecker,Haptics and Robotics Executive Board,https://hildekuehne.github.io/
Hilde Kuehne,Multimodal Learning & Computer Vision,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/computergrafik/lehrstuhl/mitarbeiter/prof-dr-ing-hendrik-lensch/
Hendrik Lensch,Computer Graphics & Vision Executive Board,https://uni-tuebingen.de/index.php?id=161236
Anna Levina,Computational Neuroscience,https://www.mlsustainableenergy.com/
Nicole Ludwig,Machine Learning in Energy Systems Executive Board,https://www.ipoc.uni-stuttgart.de/fp/
Sabine Ludwigs,Intelligent Polymers & Materials Science,https://www.mackelab.org/
Jakob Macke,Machine Learning & Computational Neuroscience,https://al.is.mpg.de/
Georg Martius,Machine Learning & Robotics,https://www.complawlab.com/
Kristof Meding,Computational Law,https://institute-tue.ellis.eu/research-groups/algorithms-and-society
Celestine Mendler-Dünner,Machine Learning & Society,https://sites.google.com/view/mmuehlebach/
